hashtags:,#CentroAprende,#MéridaContigoEsMejor
post_url,username,comment_id,comment_text
jcgaber,18105686404656485,https://www.instagram.com/p/DRlVZnGDYad/,👏🏻👏🏻 Devolviendo a la comunidad 🔥
eljuanamaro,18121665349526651,https://www.instagram.com/p/DRlVZnGDYad/,Gran experiencia espero les haya gustado 🙌
angelsss1,17965674575995721,https://www.instagram.com/p/DRlVZnGDYad/,@eljuanamaro no llevaste a rigel macho
