hashtags:,#oxxo,#justicia,#comedy
post_url,username,comment_id,comment_text
aracelly.carrillo,17992742012225560,https://www.instagram.com/p/CxLTMQdL8GI/,HAHAHAHAHAHAHAHAHAHAHA colega 🤣🤣🤣
jessicaech__,18234650899215702,https://www.instagram.com/p/CxLTMQdL8GI/,a ver si ya abren la segunda caja
eljuanamaro,17988533072111322,https://www.instagram.com/p/CxLTMQdL8GI/,@jessicaech__ no tenemos sistema
lulutrejo__,18023929978633355,https://www.instagram.com/p/CxLTMQdL8GI/,COLEGAS COMO ESTAN????? JAJAJAJAJAJA
eljuanamaro,17993836706187027,https://www.instagram.com/p/CxLTMQdL8GI/,@lulutrejo__ amables los colegas
nataliacp_,17940258221706797,https://www.instagram.com/p/CxLTMQdL8GI/,JAJAJAJA
eljuanamaro,17934369356735853,https://www.instagram.com/p/CxLTMQdL8GI/,@nataliacp_ 😂😂😂
manurejon_,18034676386517778,https://www.instagram.com/p/CxLTMQdL8GI/,@nataliacp_ por eso no voy al oxxo
habibsaiden,17994954695182069,https://www.instagram.com/p/CxLTMQdL8GI/,Jajaajaj😂😂😂
eljuanamaro,18005216011980347,https://www.instagram.com/p/CxLTMQdL8GI/,@habibsaiden 😂😂😂
frxnkstevens,17996689379134550,https://www.instagram.com/p/CxLTMQdL8GI/,pero nadie le gana a farmacias guadalajara
eljuanamaro,18002113373020816,https://www.instagram.com/p/CxLTMQdL8GI/,@frxnkstevens COMO TE ATREVES
frxnkstevens,18237134608170108,https://www.instagram.com/p/CxLTMQdL8GI/,la neta me gusta mas el 7eleven
eljuanamaro,17987180339513780,https://www.instagram.com/p/CxLTMQdL8GI/,@frxnkstevens 😡
manurejon_,17872412378969439,https://www.instagram.com/p/CxLTMQdL8GI/,"@frxnkstevens hola, lo puedo atender en cualquier caja porque a nosotros si nos gusta trabajar 💪"
frxnkstevens,17994775574508474,https://www.instagram.com/p/CxLTMQdL8GI/,jalaverga hahahah
emmanuelvillano,18004383085997304,https://www.instagram.com/p/CxLTMQdL8GI/,JAJA
eljuanamaro,17966147744622066,https://www.instagram.com/p/CxLTMQdL8GI/,@emmanuelvillano 😂😂
manurejon_,17881631642941295,https://www.instagram.com/p/CxLTMQdL8GI/,"Seven rifa, lo demás sobra"
eljuanamaro,18223022302221173,https://www.instagram.com/p/CxLTMQdL8GI/,@manurejon_ síguele hdtpm
felipunk0,18038181709529121,https://www.instagram.com/p/CxLTMQdL8GI/,@eljuanamaro no sabe lo que es bueno colega
sadhervazquez,17895712700797317,https://www.instagram.com/p/CxLTMQdL8GI/,"Bola de pendejos, los amo, jfkskajagajakajah"
eljuanamaro,18016918360772333,https://www.instagram.com/p/CxLTMQdL8GI/,"@sadhervazquez nosotros también a ti, te extraño"
felipunk0,18001749815061401,https://www.instagram.com/p/CxLTMQdL8GI/,Que tenga su merecido
eljuanamaro,17992142273210160,https://www.instagram.com/p/CxLTMQdL8GI/,@felipunk0 lo hizo excelente colega
mrobles94_,18009448462910338,https://www.instagram.com/p/CxLTMQdL8GI/,Jajajajajaja ya dedícate a esto mejor
eljuanamaro,18263621368091906,https://www.instagram.com/p/CxLTMQdL8GI/,@mrobles94_ estaría padre
_pedro_alarcon,18008523001802281,https://www.instagram.com/p/CxLTMQdL8GI/,😂😂😂
eljuanamaro,18021776017664893,https://www.instagram.com/p/CxLTMQdL8GI/,@_pedro_alarcon 🤪🤪🤪
