https://www.instagram.com/p/CTdAk1GrN4M/,hashtags:,#StandUpMID.
username,comment_id,text
elantonyrubio,18159997513162468,Felicidades por este logro! Te lo mereces bro 👏🏼🤘🏼
dr.nutriwilliam,17909620706074754,Pero que regrese el trago 🥃. Felicidades padrino te salió al tiro ❤️
siri.of.lights,18129347440238607,Que buena onda Juan! Muchas felicidades y éxitos! 👏👏👏 se te extraña hermano
lula_flores,17961002272463410,“Gracias a Lula por el recadito tan lindo que me mando a medio show” 😌
querubin.tv,17906017037111774,Eres mi hijo. Tq.
ricardoypunto,17892118970352778,Para mi que solo estabas bien iluminando
eljuanamaro,17853761948611722,@queridoricardoarmando salgo terrible jajajaja
leodelrio6,17887057166408095,🔥
kafimusica,17869335608583361,🙌🙌
