hashtags:,#maya,#yucatan,#comedia
post_url,username,comment_id,comment_text
miguelseguirv,18015848393125721,https://www.instagram.com/p/C3gbp_tLw5K/,Chingon! 🔥
eljuanamaro,18253323784214667,https://www.instagram.com/p/C3gbp_tLw5K/,@miguelseguirv graciaas amigoo 🙏🏻
gutocamposr,18020197949045433,https://www.instagram.com/p/C3gbp_tLw5K/,👏👏
