hashtags:,#Yucatán,#YucatánMásMejor
post_url,username,comment_id,comment_text
bianloponte,18040484992684637,https://www.instagram.com/p/C6ZLo6Xq4-J/,"Un placer Juan Cuando gustes me encantaría hablar contigo, espero tu mensajito💖"
raulgr1976,18023872394120937,https://www.instagram.com/p/C6ZLo6Xq4-J/,😂
jaisielcontreras,18062701483558573,https://www.instagram.com/p/C6ZLo6Xq4-J/,@grettysinai vamos a darle gracias por el inicio de esa propuesta en los héroes!! Ningún árbol más 🫠
giovanna_rebeca,17948032817685963,https://www.instagram.com/p/C6ZLo6Xq4-J/,"Informese candidato, se que es parodia, pero los mototaxis electricos si existen y serian una magnifica alternativa sustentable. Puede goglear Guerreras Fenix Uman para informarse"
eljuanamaro,18304501861158760,https://www.instagram.com/p/C6ZLo6Xq4-J/,@giovanna_rebeca te ofrezco la dirección del departamento de innovación y movilidad necesitamos a alguien con tu talento
faniruvalcaba,18051859978653956,https://www.instagram.com/p/C6ZLo6Xq4-J/,@eljuanamaro yo voto por ella 🙌
lizetdelriverov,18047666923727736,https://www.instagram.com/p/C6ZLo6Xq4-J/,😂😂😂😂
denisse_nm,17919623918806761,https://www.instagram.com/p/C6ZLo6Xq4-J/,"Candidato, no alcancé mi gorrita, ¿Cómo puedo adquirir una?"
pawwcampos,17856602325159110,https://www.instagram.com/p/C6ZLo6Xq4-J/,Apoyo 100% a la deforestación lic. gracias por pensar siempre en el beneficio del ciudadano y sobre todo del medio ambiente
eljuanamaro,18007701614416858,https://www.instagram.com/p/C6ZLo6Xq4-J/,@pawwcampos gracias a personas como ud. hacemos de #YucatánMásMejor
pawwcampos,17968163291602671,https://www.instagram.com/p/C6ZLo6Xq4-J/,"@eljuanamaro gracias, ojalá me considere para algún puesto cuando gane la presidencia, no es presión. Saludos"
pepe0jeda,17905585295957654,https://www.instagram.com/p/C6ZLo6Xq4-J/,Este es el bueno
victormedrano_zp,18020563343507484,https://www.instagram.com/p/C6ZLo6Xq4-J/,Vamos candidato! 👏 vamos #porunyucatanmasmejor
_.psichedelia,18055014304596248,https://www.instagram.com/p/C6ZLo6Xq4-J/,😂😂😂😂😂😂
gcastillar,18262584505168205,https://www.instagram.com/p/C6ZLo6Xq4-J/,Mi candidato! 🙌
marj.glv,17919627710798170,https://www.instagram.com/p/C6ZLo6Xq4-J/,JAJAJAJAJAJAJAJAJAJAJAJA
