https://www.instagram.com/p/C5l4h3MsNYS/,hashtags:,#LaJuanósfera
username,comment_id,text
aireadna,18023260708992507,JAJAAJAJJAJAJAJAJAJAJAJAAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJA
jc_sp90,18027315350006131,Buen video 👌🏻 sigue así padrino
eljuanamaro,17999171840609410,@jc_salazarpuga_ muchas gracias padrino! 🙏🏻
