https://www.instagram.com/p/CjDYxy-LGmE/,hashtags:,#miercoles
username,comment_id,text
emilianotorres_stndp,18321273400039885,Juan por que pusiste una foto del Bicho???
lets_leto,17946845033246273,"Faaaaaan, confirmo"
eljuanamaro,17945052314487722,@lets_leto 🙌🙌🙌
luiscastillofg,18032347723370360,😍😍😍
eljuanamaro,17947973159323410,@luiscastillofg 🥰🥰🥰
_pedro_alarcon,17982878320619145,Yo con Juan #SíVoy #VotaJuan
ezarmdz,18248605813136545,@_pedro_alarcon rt
diegopisteg,17844575765855393,Tienes mi voto
eljuanamaro,18109968532289892,@diegopisteg agradezco su apoyo para estas elecciones
leyeberta,18007005631482384,Nos vemos en las elecciones 🗳
eljuanamaro,17922290288600538,@nosoyfloramargo un voto por Juan es un voto por las risas 🫡
gerardo_gallareta,17979022426728095,🔥🔥🔥
eljuanamaro,17859789935780607,@gerardo_gallareta 🙌🙌
