hashtags:,#LaEstrellaDelMomento,#JuanAmaro,#Comedia#Yucatán
post_url,username,comment_id,comment_text
ninamongeote,18074671712277969,https://www.instagram.com/p/DOt-82XFCs1/,😍😍😍😍
adriangalvara,18075479090044069,https://www.instagram.com/p/DOt-82XFCs1/,Confirmo lo de las orillas de Pizza
ninamongeote,17956570136850672,https://www.instagram.com/p/DOt-82XFCs1/,🔥🔥🔥🔥
ninamongeote,18293894374251110,https://www.instagram.com/p/DOt-82XFCs1/,THE KING 👑
