https://www.instagram.com/p/CrY8R_hJG8o/,hashtags:,#diadelatierra
username,comment_id,text
enmalalid,18042600211444978,"Esto es lo más cagado que te he visto. Reí mucho, razón suficiente para ir al NH? 🤔"
eljuanamaro,17878108046809715,@enmalalid por supuesto 🙌🏻 mándame dm para tu código de descuento 😜
