https://www.instagram.com/p/CqG5VsBrtbZ/,hashtags:,#LaJuanósfera
username,comment_id,text
sergio.neri,17963251517188766,"Chingonsísimo señor Amaro, muchas felicidades 👏👏👏"
eljuanamaro,17951800910343646,@sergio.neri muchísimas gracias maestro 👏🔥 espero le haya gustado 🫡
fozzymontalvo,17877762089835957,Pero los comentarios en el video están desactivados y el video está mal configurado para YT Kids 🥲
eljuanamaro,18004730608575095,@fozzymontalvo gracias por el comentario gallo 🙋🏻‍♂️ ahora veo que se resuelva 🫡
fozzymontalvo,17951500532529334,@eljuanamaro esperando el episodio 2 🫡
eljuanamaro,17979361016064045,@fozzymontalvo los miércoles mi estimado 🔥🔥🔥
mariadelrio2,17986162192817993,jajajajajajajajajajajaja muy cagado juan
eljuanamaro,18016338325547740,"@mariadelrio2 jejeje gracias María, checa el video completo 🙆🏻‍♂️✨"
timmycervera,17961435284378916,Primero Dios
eljuanamaro,18209093617234234,@timmycervera así es Dios mediante 🙏🏻👼🏻
lulutrejo__,18041585812438634,Muchas gracias Dios los bendiga
eljuanamaro,17988539212757575,@lulutrejo__ 👼🏻
ninamongeote,17979618098025782,Yendo a verlo completo 😍😍😍
eljuanamaro,17951461139352404,@ninamongeote dime qué te parece mi amor 🥰😘
laprimamx,18171317293272636,JAJAJAJAJA FAAAAN
eljuanamaro,17997435943736169,@laprimamx 👏🔥🔥🙆🏻‍♂️
