hashtags:,#standup,#standupcomedy,#comedia
post_url,username,comment_id,comment_text
jizz_music,18102709384373423,https://www.instagram.com/p/C25QD9erDs5/,😂😂
eljuanamaro,18023721949820401,https://www.instagram.com/p/C25QD9erDs5/,@jizz_music 😂😂😂😂😂
cristinadecolores,17990869556542176,https://www.instagram.com/p/C25QD9erDs5/,Desde ese día esa señora se mamonea… no tengo pruebas pero tampoco dudas 😂
eljuanamaro,18067069477487385,https://www.instagram.com/p/C25QD9erDs5/,@soycristinadecolores jajjajjaja 100%
