https://www.instagram.com/p/DC72EoeyL5O/,hashtags:,#humor
username,comment_id,text
meno_805,17856130467433472,😂
oscartoalalopez,18069458779771096,😂😂
mariovalencia2320,17942421426005322,Es lo máximo 😮
armandovencesm,18057508927946327,JAJAJAJA PERO BIEN QUE SABE QUÉ YA NO APRIETA 😂😂😂😂😂😂
diegoleyva409,18083562877655420,😂😂😂😂😂😂😂
martin.rabelo.92,18060344752866158,Que paso con la playera del tricampeón falso
jesus_vallejo2321,18110852839466533,Como que ya es mucha jotada ya no ??
1.brillo123,18062908999965557,😂😂😂😂😂😂😂😂😂😂😂😂
rowdy66951,18095378197539172,😂😂😂😂😂😂😂
miguelangeljacito,18489815863020944,❤️❤️❤️❤️😍😍😍🏳️‍🌈🏳️‍🌈
arturoquhz,17959725263763911,"De calidad?
Es truper esa mrd, no mames"
lucas_yorkes,18056517491085783,😂😂😂😂😂😂😂😂😂
aragon352,18023699333389808,@wingsmc  Víctor jjj
aragon352,17949125318937032,@alex_villalobos_02  tu novia jjj
19alexrogel84,18073464610684247,Ya mame? Se nota 🤣🤣🤣🤣
mejia1342,18047239988021171,😂😂😂
_dmax02,18075739516710311,
wilderjavierdiaz,17993253989606494,😂😂😂
marvingarcia491,18151670215351507,😂😂😂😂😂😂😂😂😂😂
0omarcito,17876627247249151,De portada pensé que era el arqui Jajajaja
efrain_amante_de_las_motos,18071911261666499,😂
maupeee,17864027355245314,😂😂
perez3004,18053942642075223,😂😂😂😂😂😂
williamibanez26,18079235830558442,😂😂😂😂😂😂😂😂
lunesoracio,18052626451886790,Jajaja 🤣 más cierto no puede ser ya estás trageteado amigo
mario.provoka,18042390977055020,@manolomejia2014  jajajaja😂😂😂
missael352,17948675960916598,😂😂😂
gonzalez5354official,18051312503135760,😂😂😂😂😂😂
bigjewpoppa,18045636884238527,“No puerca” 😂😂😂
tekoatl,18055136771056534,#fedelobo @fedelobont @soyfedelobo
j3sus.26is,18439755823072303,Ta ba bien el del américa
papanchoalegria,18059275849752111,@federicomendoza2506
edgar_zm,18062553277858524,Te hablan @jhonix_9012  jajajaja
chemaax8,17988504179782143,Jajaja el arqui juve
enriquesalvisa2020,18057160843792476,Ya te gusta ese personaje
imietsuya,17952194345879358,pense que era el arqui
xavo1698,18262293751256433,😂
robertocarlos_dejesushernandez,18298793731227308,😂😂😂😂😂😂
balmoremendoza5,18263103955271110,😂
jorge080911,17942310371929485,X dios lo choco sintió el golpe 😂😂
omardanielr,17850770343363129,😮😮😮😮😂😂
christianarevalo594,18472962298059461,Buen comercial flato el nombre de la ferretería jajajaja
brujo187,18039681191340330,Pinches películas de Temu 😂😂😂
romanlopez22,17940003713945989,😂😂😂
angel_dmiranda,18040414427221376,@abarcakenneth  Si eres en la ferretería!
arturosebastianperegrinodela,17854730373284199,🔥🔥😂😂
maclovioohutson,18070881838634745,😂😂😂😂😂
just4glad,18048766250037567,😂😂😂😂
picsprofc,17913364521043317,Como la alejandre ospine
eleazar_tomates,17923015877902030,@juve3dstudio
itscapricornio,18081165169568231,3xStudioJuveBrazzers
osajarab,17851504269310981,No puer K! Jajajajaja
mounstritodalier666,18048840727894198,😂😂😂😂
pe.1747,18043520662969811,🤣🤣🤣🤣🤣🤣😂😂😂😂😂😂😂😂😂
lobito_solitario_x90,18045322544473084,🤣🤣🤣
miguel.trejo.1297,18041335334002242,Pensé lo mismo cuando lo vi
fms.photographer,17936331647948438,Qué onda con la hermana chueca de la tila María 😂😂😂😂😂😂😂😂
panchomechacorta,18084718084528263,Juve3dstudio de temu
roberto.pazos1,18066287347776791,El arqui mayate
vladi.torres.520,18128522338385277,Se parece al arqui juve3D jajaja
deiviid.cgr,17991738842752999,El juve de temu
karlosflorez44,17994747938719077,Ya mamaste jajaja jajaja jajaja
bob_matias01,18011049899492147,@arqjuv3d eres el mejor
sbart502,18016512890392377,pense k era el arqui  jajaj
russell__moo,18071736163650774,Juvestudio2D
isaac_r91,17842554384378484,El arqui de juve3studio en otra realidad alterna !!!
octjavie.r,18070002685647239,Juve 🔥🔥🔥🔥
nas.gul6668,17888331357115981,😂😂😂 los del cruz azul
jose627560,17908024425062038,Es @juve3dstudio?
albertto.1004,18289528663239139,Ahorita la andaba yo buscando 🫦🫦🫦
07_vicktor,17922488813904050,Se parece al Arqui Juve 🤣🤣🤣
j_gonsalesmartinez,18050349079999118,No Juve tu no😭😭😭
daniel.pu.222,18352918984134197,El arquiverso es real
el_pinchi_jose_.l._,18228530326305169,Le sale muy natural xD
choche_gonza,18381816871097503,Pense q era el arqui Juve
_jpfx91_,18072018496568815,El Arqui Juve con los proveedores jajaja
geronimo1672,18051756530057622,Ya no aprieta de tanto uso jajajaja
manolo.3981,18381480763128403,Jajajjaa hay esos del america
javitos91,18259401112256064,Por un segundo pensé que era el arqui jajajaja
j_o_s_e_luis,17939730590928718,Es el Arqui versión Disney
mauriciolopez1514gmail.com6,17872638477231134,Te espero a las 8 okey jajaja 🤣
israel2273,18129264499390266,El arqui esta como raro😂
mauroe.mandujano,18128433199386491,Es el arqui echando su mezcla?? 😂🤣😂
tomjoselopez,17937260903947075,Se puso raro el arqui juve3dstudio
regino.gaspar.108,17937580253949893,Ay que invocar ala arqui que no ande de 🪲 😂
danieltpa2502,18019804994626051,Este video es solo para gays
dr_bruce_official,18349831216125593,Tremendo par de varcelonistas fans de messi
albertodnrm,18024687464560444,Es el arqui Juve ❤️
el.le_on,17907172905065710,Gente que se parece al Fedelobo pero no es el Fedelobo
ikeraron8,18038400329350429,Entendí esa referencia 😂 pero el solo es del Durango
jonacruz21,18072259051722396,El arqui juve3D yucateco 😂😂😂
luca1.285,18031751543524885,😂😂😂😂😂😂
rafikiescalante,18091666786503099,Jajaja regalada
rafikiescalante,18020810807333695,😂😂😂😂😂😂😂
provodkame,18083154046495655,😂
heriberto.gs94,17862616968224240,Es el arquitecto juve o es el Fede lobo ?
_mauriciorm18,18128046844385079,@lalopereyra  bonito short rosa
guerococom,18009019106671825,Chucho 🩴
chuchopitza,18046188977471204,@guerococom JAJA pero en la nalga
elepoot,18044224796276183,Pensé que era el arqui
pelushclementemoralees,17881240743186899,Que hace @juve3dstudio  con @chuchopitza 😂😂😂
villadamillan,17940588923941415,Aaaaatrevido!!
et8101,18050301619845962,Llámame o ya mamé no se cual dijo 🤣
rafikiescalante,18126115735393305,@et8101 jajajajaja
eduardodionvic,17877672954199025,😂😂😂
franciscohbaza,18023749985617822,Se parece al Arqui Juve jajajaja jajajaja
drohez,17987523749751535,Jaja. El arquitecto con acento bomba
wh26a,18039971222018411,Se parece al arqui
izzykun,18050712539002793,🔥🔥🔥😍😍
kino_tatsuki97,18014367017444490,Yo quiero un arrimon así
marcelodariomaidana,18053411809978327,Le cayeron al hincha del america
josedarwin_22,17845402905363263,Ajjajajjaajajjajaja 😂
moduss_shoes,18039406244243344,HAHAHAH
david_avelino94,18007929452495718,A primera vista pensé que era el arqui juve jejejeje
monikno316,17848275108356692,😂😂😂😂😂
lagunes1332,18046781387106385,😂
nowords_w1,18055009468941248,El @juve3dstudio cuando va por materia😂
josue_alan0103,18047099267104047,Si fuera rigel si lo afloja todo 😂
wilsonfernandezgomez,18073638562622512,😂😂😂😂😂
rolandobalam,17916912552010862,Hahaha ya mamo  haah😂😂
mariaisabelpolancor,18330397348155371,Jajaja jajaja jajaja jajaja
rickytrips14,17996018903557057,Y sí volviste a las 8? 😏
03albed,17970212138802649,Es @juve3dstudio ?
jonacruz21,18347526883130188,@03albed versión yucateco
cruzrisy,18052381582984673,😂😂😂
luisgzpe,18139339906368988,Jajaja lo está consumiendo el personaje jajaja excelente actuación jajaja
cris_kisses,18152063422340983,Facilota 🤣🤣🤣🤣🫱✨
gerardorodriguez9639,18048194069479775,😂😂😂😂
wazaamx1,18079287109509247,Pero el mejor afloja todo es el WD-40
chuchopitza,18055892437940038,@wazaamx1 yo creí que eran las colombianas
juanpapashitoo,18049356977003254,Es el arqui juve3dstudio
javiierg46,18025827380264832,@juanpapashitoo me ganaste el comentario😂
edymartinezfierro,18015033818425519,@juanpapashitoo se fusionó con el fedeverso
arch_aga12,18032141618588028,@juanpapashitoo pero de temu
chequeschez,18064769923761893,Juan2dSalon
