hashtags:,#tlaquepaque,#guadalajara,#jalisco
post_url,username,comment_id,comment_text
k.a.r.i.n.a.s.m,17894672106298095,https://www.instagram.com/p/DN6hzp3Erli/,Bienvenidoooos!! No sé cómo se diga en maya pero que gusto que nos visiten
totoro_zuly,18045292922647997,https://www.instagram.com/p/DN6hzp3Erli/,Bienvenidos!!! La hermana república del tequila y el mariachi los recibe con los brazos abiertos ❤️ disfruten su estadía pero cuidado con la lluvia está ahogando todo
mary_carmen3010,17879651544383904,https://www.instagram.com/p/DN6hzp3Erli/,Mi hermosa Ciudad 😊 es tu casa 🏡 😊 yo amo Merida
ffridarock,18517162234033796,https://www.instagram.com/p/DN6hzp3Erli/,La foto 3 es amor
ffridarock,17914636290184347,https://www.instagram.com/p/DN6hzp3Erli/,@ffridarock y la 9
vickywolff,18095170954659620,https://www.instagram.com/p/DN6hzp3Erli/,@ffridarock estábamos viendo el amanecer ☀️ ❤️
vickywolff,17969882021929694,https://www.instagram.com/p/DN6hzp3Erli/,@ffridarock en el chemiom 🚌
franciscojdelgadom,18103083331599959,https://www.instagram.com/p/DN6hzp3Erli/,La mejor ciudad (jejejeje) 🤭🤭
luisfranciscoramirezgomez,18040107599673827,https://www.instagram.com/p/DN6hzp3Erli/,Vickywolff.( La yucafresa más bella )...visitando la  perla de occidente......😮😮😮😮😂😂😂😂😂
tanilicha,18038131208438460,https://www.instagram.com/p/DN6hzp3Erli/,"Hace muchos años cuando estudiaba mi carrera, trabajé con tu papá!!!. Siempre fue una bella persona. Lo recuerdo con mucho cariño. ❤️🙌 Y recuerdo cuando te vi por primera ves dije. Esta chica se parece al doctor Campos"
tanilicha,18048758999296751,https://www.instagram.com/p/DN6hzp3Erli/,@vickywolff . Esa madre no me dejó terminar mi escrito. Jajajaja el punto es. Me das mucha alegría volver a ver a tu papi. Les mando muchas bendiciones ❤️
vicomartitu,18063124586459663,https://www.instagram.com/p/DN6hzp3Erli/,Tu papá es Alito Moreno?
herrerayorch,18063427016523629,https://www.instagram.com/p/DN6hzp3Erli/,En tacos don Yorch en Merida venden riquísimas jericallas cuando andes por acá saludos
jaime_2705,17847715557528854,https://www.instagram.com/p/DN6hzp3Erli/,La foto frente a la Minerva y la Catedral son de ley.
omaru365,18123114850427980,https://www.instagram.com/p/DN6hzp3Erli/,
vickywolff,17976331154876562,https://www.instagram.com/p/DN6hzp3Erli/,@omaru365 somos una familia de fuego 🔥
montiel_eusebio,18074902532285154,https://www.instagram.com/p/DN6hzp3Erli/,Lo lei en modo Yuca😂😂
hiram_romero_armas,18070821230273092,https://www.instagram.com/p/DN6hzp3Erli/,Tlaquepulque jajaja
gama_guva,18287250268280780,https://www.instagram.com/p/DN6hzp3Erli/,tlaquepulque
yoman_cardenas,18052954607533067,https://www.instagram.com/p/DN6hzp3Erli/,De parte de mi mama que tu papa es su primo
huitzillima,17961602777974130,https://www.instagram.com/p/DN6hzp3Erli/,Saludos Al suegro!!!
mfvalenzuelas,18025138142739658,https://www.instagram.com/p/DN6hzp3Erli/,Bienvenida!!
jorgerdelagala,17987508434846724,https://www.instagram.com/p/DN6hzp3Erli/,😍 aquí ando !
miriam_fm_,18289925764254945,https://www.instagram.com/p/DN6hzp3Erli/,La perla de occidente y por algo lleva ese nombre. Mi ciudad natal hermosa
josedejesuslaguna,17883940818243100,https://www.instagram.com/p/DN6hzp3Erli/,En mi tlaquepulque
guerrero_azteca__,18500468827068250,https://www.instagram.com/p/DN6hzp3Erli/,hola se paresen mucho
doritavaladez,17877508218287544,https://www.instagram.com/p/DN6hzp3Erli/,"Horrible elección, esta ciudad está cada vez más fea"
gersony_dp,18088714837819271,https://www.instagram.com/p/DN6hzp3Erli/,Conozco a ese Sr 😊
