hashtags:,#merida,#yucatan,#centrohistorico
post_url,username,comment_id,comment_text
umi_8266,18114134083454007,https://www.instagram.com/p/DFMLTVKsJaz/,"Ud.tiene la facultad de Verse u oírse yuca,yuca y cuando quiere cambia a verse u oírse Fresa ,Fresa ..como Defensa o Fresa Internacional . Y a veces se ve de apariencia Yuca con cara regordeta y a Veces como niña de Secu 😊, Pero si se nota que está bien buena 👍🏻!!"
umi_8266,18046172630267402,https://www.instagram.com/p/DFMLTVKsJaz/,"@umi_8266 ..Es camaleónica Natural , no se parece a nadie,es única...."
rt_fernando,17961822608854371,https://www.instagram.com/p/DFMLTVKsJaz/,Hay su marquesita?
elmickeyb,18048861659142512,https://www.instagram.com/p/DFMLTVKsJaz/,Y esos son perros o como les dicen en Yucatan ?? :O jaaja
c4b4ll3r086,18062846899912774,https://www.instagram.com/p/DFMLTVKsJaz/,Q lindos.. 😍
rivero5073,18033575870206219,https://www.instagram.com/p/DFMLTVKsJaz/,Mi Crush 😍
jair_monroyg,18022091858374769,https://www.instagram.com/p/DFMLTVKsJaz/,Chulada ❤️😍👏
zero.alva,18000373961563134,https://www.instagram.com/p/DFMLTVKsJaz/,Son las famosas sillas para echar novio?
nadie_art_,18112083469453276,https://www.instagram.com/p/DFMLTVKsJaz/,Invita
lunaivancarrillo,18115156606431638,https://www.instagram.com/p/DFMLTVKsJaz/,La plaza grande. Hermosos recuerdos de mi niñez
timearnold,18076082335644138,https://www.instagram.com/p/DFMLTVKsJaz/,Mi yucateca favorita 😋😋🥰
mnyk23,17994962066757313,https://www.instagram.com/p/DFMLTVKsJaz/,"Merida, mi perrito y una marquesita 😃🐶🍢🌄 yo también quiero tener ese sueño😍"
turi_marks,18008329562704746,https://www.instagram.com/p/DFMLTVKsJaz/,"La foto más Yucateca, las sillas, la marquesita, salir en la noche con ropa cómoda, 👍"
carlosrodriguezzubieta,18073092148732931,https://www.instagram.com/p/DFMLTVKsJaz/,"... continuo que haces casi omiso de los que cimental negativamente, sigue sin hacerles caso."
carlosrodriguezzubieta,18116627155438239,https://www.instagram.com/p/DFMLTVKsJaz/,"Woww, tiempo siguiendo tu cuenta y no me había percatado lo hermosa que eres, en el sentido más amplio de la palabra. Felicidades y sigue siendo tu, ya se que n"
charly_fmira,18280398058216674,https://www.instagram.com/p/DFMLTVKsJaz/,No máaa! Comete algo!
gatuponchi,17888430744085802,https://www.instagram.com/p/DFMLTVKsJaz/,La del falso acento yuca ...
_kruzzier_,18054069446492500,https://www.instagram.com/p/DFMLTVKsJaz/,Todo eso te comes???😍
oswaldoats,17954212406869694,https://www.instagram.com/p/DFMLTVKsJaz/,Otra página de whitexican yuca !
joarsa19603,18069770857776097,https://www.instagram.com/p/DFMLTVKsJaz/,Creí que era un perrito mitad cerámica 😂😂😂
_dav1drivera,17898128013103866,https://www.instagram.com/p/DFMLTVKsJaz/,Yo dijo quesito me caso! Desde que la vi!
_moondem,18116214355442230,https://www.instagram.com/p/DFMLTVKsJaz/,Lo único hermoso es el Border Collie ❤️😍
unelfodelbosque,18078490633718940,https://www.instagram.com/p/DFMLTVKsJaz/,Lo leí en yucateco ❤️
me_llaman_caye,18068967829750086,https://www.instagram.com/p/DFMLTVKsJaz/,Queso con chocolate??
zoomadolfoavila10,18039379016099097,https://www.instagram.com/p/DFMLTVKsJaz/,Wao que tía tan más hermosa 😍😍😍😍😍😍@vickywolff saludos y besitos
germanbarajasbox,17963420483730226,https://www.instagram.com/p/DFMLTVKsJaz/,Amo las marquesitas y los border collie 😍
albarran_tol,17852090016379603,https://www.instagram.com/p/DFMLTVKsJaz/,"¿Es plaza Santa Lucia, Bonita?"
alejandroxp12,18160684918329957,https://www.instagram.com/p/DFMLTVKsJaz/,Invitese una marquesita jaja
jonansabeque,17989595963619626,https://www.instagram.com/p/DFMLTVKsJaz/,Chulada de marquesitas y más con el queso rojizo
luis_ascruz14,18029566541537244,https://www.instagram.com/p/DFMLTVKsJaz/,😍
viafirenze,18055713539071797,https://www.instagram.com/p/DFMLTVKsJaz/,Esa marquesita se me antojo !!
sergio.lepz0018,18171984187316223,https://www.instagram.com/p/DFMLTVKsJaz/,La marquesita🤤
resendiz122,17907098772087964,https://www.instagram.com/p/DFMLTVKsJaz/,"¿Y como carajo le hago para no amarte?… demasiados atributos, bonita, agradable, carismática, chistosa, ocurrente, sencilla (espero), en una palabra HERMOOOSSAAA..!!!"
legache_9,17948783279920042,https://www.instagram.com/p/DFMLTVKsJaz/,Nunca pensé admirar a una mujer tan HERMOSA como es usted Vicky 😍😍😍😍😍
ferplopez,18290094211209696,https://www.instagram.com/p/DFMLTVKsJaz/,Yo quierooooo unaaaa marquesitaaaaa !! O la receta ❤️🤤
javiercorrea75,18059505910784437,https://www.instagram.com/p/DFMLTVKsJaz/,Es de Yucateco andar en chanclas? 😂😂😂
