hashtags:,#animaciónmexicana,#serieanimada,#estreno
post_url,username,comment_id,comment_text
khe_onda_nene,18100917145565492,https://www.instagram.com/p/DP4bYrWEbIq/,Como puedo ir a la premier???😍
loganvivasv,18060626750452029,https://www.instagram.com/p/DP4bYrWEbIq/,Se ve hermoso!!! Necesito verlo ahora mismo!!!!😍😍
yin.0420,18050703074663546,https://www.instagram.com/p/DP4bYrWEbIq/,Siiii eres tuuuuuu jejeje 💜
ramondavaloscastillo,18104082667559327,https://www.instagram.com/p/DP4bYrWEbIq/,Ahí es donde participas con el doblaje?
totifruttt,18511929439064070,https://www.instagram.com/p/DP4bYrWEbIq/,AmoOoOooO 😍😍
teruteru.soundtrack,18344467000163083,https://www.instagram.com/p/DP4bYrWEbIq/,@totifruttt amamoooooos
franco_ynz,18082940003081485,https://www.instagram.com/p/DP4bYrWEbIq/,@totifruttt te pareces a Teodora
magdielc32,17880689031296129,https://www.instagram.com/p/DP4bYrWEbIq/,"@totifruttt supieron capturar tu ""brillo"" ✨️😂"
mr_kite5_oficial,18082065959316892,https://www.instagram.com/p/DP4bYrWEbIq/,lanzaste tu caricatura ?
robertofurimmer645_,17893684179204007,https://www.instagram.com/p/DP4bYrWEbIq/,Dónde se va a estrenar en qué plataforma en YouTube ?
paulmissale095,17941293813089965,https://www.instagram.com/p/DP4bYrWEbIq/,😮😮😮😮😮😮
herreragarciaomar,17902176756275352,https://www.instagram.com/p/DP4bYrWEbIq/,Qué chingón 🙌
zaphkiel_559,18286566121274692,https://www.instagram.com/p/DP4bYrWEbIq/,Bueno no hay que ser Sherlock para saber quién es la frentona
