hashtags:,#dory,#cozumel,#quintanaroo
post_url,username,comment_id,comment_text
julio_jimenez9422,18012991943652371,https://www.instagram.com/p/DTa7jrWEXCH/,😍😍
turismocozumel,18164211364400153,https://www.instagram.com/p/DTa7jrWEXCH/,😍😍
gabbz.raccoon,17995110770912636,https://www.instagram.com/p/DTa7jrWEXCH/,😍😍 bonitaaa
cozumel_isla,17916020790257513,https://www.instagram.com/p/DTa7jrWEXCH/,Disfruta tu estancia en la mágica isla 🙌
acoch64,18147006610451865,https://www.instagram.com/p/DTa7jrWEXCH/,"QUEREMOS UNA IMITACIÓN DE CUCHO, EL AMIGO DE DON GATO, POR FAVOR.....🙌❤️"
resendiz122,18070777544434071,https://www.instagram.com/p/DTa7jrWEXCH/,"Que hermosa estás, lo mejor es que eres natural…!!! Eres TODA UNA MUJER…!!!😍😍"
lucky0110,17908009986315193,https://www.instagram.com/p/DTa7jrWEXCH/,😂😂😂
raul.escartin.777,17877552261463058,https://www.instagram.com/p/DTa7jrWEXCH/,😂😂😍😍❤️❤️❤️❤️❤️
dariela.barrera,18069409895437518,https://www.instagram.com/p/DTa7jrWEXCH/,😍❤️❤️❤️❤️
sofia02.x,18554173237026840,https://www.instagram.com/p/DTa7jrWEXCH/,
sandra_cleverley_,17846717100651546,https://www.instagram.com/p/DTa7jrWEXCH/,Disfrutar ❤️❤️❤️❤️
chamanic.store,18119212060602148,https://www.instagram.com/p/DTa7jrWEXCH/,Por qué no me visitaste???
arturolazarogonzalezaguirre,18086959850471190,https://www.instagram.com/p/DTa7jrWEXCH/,😂😂😂😂😂
ricardoucxiu,18090525440062508,https://www.instagram.com/p/DTa7jrWEXCH/,"jajaja no ma sí se parece su voz, no me había fijado"
edymex9,17903102157347637,https://www.instagram.com/p/DTa7jrWEXCH/,😍😍😍😍😍👏👏👏👏👏👏
gido_arias,18140563246471802,https://www.instagram.com/p/DTa7jrWEXCH/,Eres hermosa 🫰
michrigranadosj,18051018110695196,https://www.instagram.com/p/DTa7jrWEXCH/,😍❤️😍❤️😍❤️😍❤️ bueno pues tú nunca haz comido un pez 🐠!!! 😍❤️😍😍❤️😍😍❤️😍❤️
totifruttt,18082668880901011,https://www.instagram.com/p/DTa7jrWEXCH/,Ya saca tu música en Spotify ya no se lo escondas a los fans!
leonardosantaya,18310489570265443,https://www.instagram.com/p/DTa7jrWEXCH/,jajajajaja ya quiero ir a cozumel. yo viví ahí cuando era niño y tengo recuerdos muy bonitos
majito.alfaro,17938335903109825,https://www.instagram.com/p/DTa7jrWEXCH/,Que hotel es?
azarelromualdo,18090073544051700,https://www.instagram.com/p/DTa7jrWEXCH/,🐟🐟🐟🐟🐟
zombieali17,18358568836161390,https://www.instagram.com/p/DTa7jrWEXCH/,"Y el erizo, aquí está tu andaremos"
angelrombt,17928722499187960,https://www.instagram.com/p/DTa7jrWEXCH/,Awas con los erizos 🗿
caro44683,18113903710612351,https://www.instagram.com/p/DTa7jrWEXCH/,Dory!
rubentpg,18076054241360555,https://www.instagram.com/p/DTa7jrWEXCH/,Oye si deja dinero hacer contenido por medio de un celular...
raulcorona_v,18088395242473059,https://www.instagram.com/p/DTa7jrWEXCH/,Que babosada.. ya estás grande mija…
el_joseluser,18552468775053767,https://www.instagram.com/p/DTa7jrWEXCH/,Harto cringe😂😂
