hashtags:,#touchmarkers,#tintachina
post_url,username,comment_id,comment_text
dio.lenai,17847412354057763,https://www.instagram.com/p/yhdwNJqyw2/,@vickywolff porque me llevaste a la playa!! Ahahahah. Próximo sabadaba! Va?
vickywolff,17847412336057763,https://www.instagram.com/p/yhdwNJqyw2/,@den_argen goey! Hay que hacer una maratón de tim burton ! La otra vez dijimos que veríamos sailor moon e hicimos todo menos eso 😒 me lo prometiste y no cumpliste!
dio.lenai,17847412288057763,https://www.instagram.com/p/yhdwNJqyw2/,Ahora la mariposa del cadáver de la novia (toda exigente! Haha)
