hashtags:,#luisbarragan,#cdmx
post_url,username,comment_id,comment_text
luispeiro2602,18043048375436314,https://www.instagram.com/p/CnaW5V6JmDk/,En sinaloa estan los mejores tacos
cuervo26_,17898363167668444,https://www.instagram.com/p/CnaW5V6JmDk/,Que combinación 👀
gust.avogomez5739,18309545449072448,https://www.instagram.com/p/CnaW5V6JmDk/,Que hermosa Bellísima ❤️😍
father.cat07,17980970866894098,https://www.instagram.com/p/CnaW5V6JmDk/,❤️❤️💯🌹🧐
adderly_98,17971577798063510,https://www.instagram.com/p/CnaW5V6JmDk/,❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️
agus32.87,18335545273002159,https://www.instagram.com/p/CnaW5V6JmDk/,Ella siendo modelo joda
