hashtags:,#merida,#yucatan
post_url,username,comment_id,comment_text
hectorguarepo,17889089766127799,https://www.instagram.com/p/DElEVXLy9m_/,Hola Vicky. Te envío un DM. Saludos
suramabrito,18135078340384042,https://www.instagram.com/p/DElEVXLy9m_/,Vicky!! Te envié un DM. Queremos ir contigo a campaña con Old Spice pero no encuentro tu mail de colaboraciones🙂 pls ideal que me lo puedas compartir!
manuokiv,17875118181161574,https://www.instagram.com/p/DElEVXLy9m_/,Díganme que no fui el único que leí este post con acento yucateco 🙈
faridmcdowel,18088865818480905,https://www.instagram.com/p/DElEVXLy9m_/,Cómo no menciona a su acompañante jajajajajaja
jorge.cordoba.3785,18152763418344866,https://www.instagram.com/p/DElEVXLy9m_/,Esta 2. 2
umi_8266,18460364530068126,https://www.instagram.com/p/DElEVXLy9m_/,"No es posible , apenas tengo un mes siguiéndote y ya le tocas la panza a otro... Increíble tanta maldad!!"
yulsdch,18480168733046778,https://www.instagram.com/p/DElEVXLy9m_/,Fuiste aver el observatorio o solo fuiste usar los baños gratis 😍
brandonmizu,18046410677223713,https://www.instagram.com/p/DElEVXLy9m_/,Salieron con la ropa elegante ❤️
alonsoquijanoc,18028099946554551,https://www.instagram.com/p/DElEVXLy9m_/,Le rompiste el corazón a medio mérida con esa foto 🥹
_omardamaso,18067163521774865,https://www.instagram.com/p/DElEVXLy9m_/,Y ese? Por qué te abraza? 🧐
coffeecupliz,18076304107715838,https://www.instagram.com/p/DElEVXLy9m_/,Lo bueno de vivir ahí y puedes ir cuando casi no hay nadie. Yo fui en dic y había un chingo de gente. Pero de que es bonito es bonito ❤️
manurev,17858262723343754,https://www.instagram.com/p/DElEVXLy9m_/,Wow. Eres alta.
kalischc,18052825601094388,https://www.instagram.com/p/DElEVXLy9m_/,Cuanta seriedad sra lobo 😂😂😂😂
julioarl,17939556788955959,https://www.instagram.com/p/DElEVXLy9m_/,Cómo así? Quien es ese? 🤨🥹
lorenarivas71,17952712673910569,https://www.instagram.com/p/DElEVXLy9m_/,"Esta padrisimo que compartas y muestres  los lugares hermosos de Yucatan,  pues tiene  muchooooooooo"
rodo_mache,18043422755217653,https://www.instagram.com/p/DElEVXLy9m_/,"El olimpo, gran lugar, 🙌❤️"
hbarajash,18088118812550421,https://www.instagram.com/p/DElEVXLy9m_/,Fan de su relación
omar.esquivel.3152,18307920538204619,https://www.instagram.com/p/DElEVXLy9m_/,Mare linda
legache_9,18027583508306290,https://www.instagram.com/p/DElEVXLy9m_/,Usted se parece a AFRODITA
joarsa19603,18069341581700520,https://www.instagram.com/p/DElEVXLy9m_/,Hormoso coliseo de Mérida 😍
robertosanchez_rodriguez,17896918806102375,https://www.instagram.com/p/DElEVXLy9m_/,Jajajajaj ya eran enemigos jajaja 😂
miriam.morales.g,18061102321936578,https://www.instagram.com/p/DElEVXLy9m_/,Solo de ver tus 👣 me dio frío 🥶 yo sigo en invierno
vickywolff,18254206108285705,https://www.instagram.com/p/DElEVXLy9m_/,@miriam.morales.g todavía no hacía frío en esa foto jaja
herr_gleason,17877111411142553,https://www.instagram.com/p/DElEVXLy9m_/,"Que bueno que leí, miss. Ya te iba a preguntar qué hacías en Grecia."
vickywolff,18025887053542823,https://www.instagram.com/p/DElEVXLy9m_/,@herr_gleason malinformar es mi pasión 😂
vane_buzo,18048000032167049,https://www.instagram.com/p/DElEVXLy9m_/,Hola!! Te envié un dm para contactarte para una campaña! Ojalá puedas leerme Dm!! :) Gracias!
rastreo_gps_morelia,18017131298442410,https://www.instagram.com/p/DElEVXLy9m_/,Te verías más elegante conmigo
giovanna_rebeca,18328263649081594,https://www.instagram.com/p/DElEVXLy9m_/,😂
ivan_rt23,18027950018303607,https://www.instagram.com/p/DElEVXLy9m_/,*Posa en Yucateca*😂👏
ronaldorejonr,18071613874731913,https://www.instagram.com/p/DElEVXLy9m_/,Quien es el??? Me estás engañando 😔
jonathan_martinezs,18052334450125614,https://www.instagram.com/p/DElEVXLy9m_/,💔
markosphuga,18048703738899640,https://www.instagram.com/p/DElEVXLy9m_/,Es tu novio?????
roccosanz4,18068265235753224,https://www.instagram.com/p/DElEVXLy9m_/,Yo sólo como Papatzul👏
cesar.garsan,17881022700124094,https://www.instagram.com/p/DElEVXLy9m_/,😍😍😍
