https://www.instagram.com/p/DTdewKBkR9X/,hashtags:,#roscadereyes
username,comment_id,text
ita_viko,18355052698207777,Así también se hace en Oaxaca ❤️
sugeiiluuna,17925188751206222,Yo lo probé en Oaxaca y lo ame 💖
monika_dm,17992736567862140,"Mi abuela también lo hacía así, muy rico era lo único que tomaba (vivió hasta los 106 años)"
claurbroker,17888832678413237,Siempre mostrando información interesante y divertida de Yucatán!
imeldasoyesenciaglobal,18129275071516499,Totalmente de acuerdo. ❤️
paogarle,18051465242443689,"Hacerle chuc a mi pan, es lo mismo que chopera mi pan? Me gusta como se dice chuc 😍"
sam_borges89,18104959468691041,@anariosseguros @andrea.lo.r lleva agua el chocolate 😌
andrea.lo.r,18060239087317314,"@sam_borges89 te faltó @ing.alfonsosalazar , me bulleo por que le puse agua."
sam_borges89,18092895022770716,@andrea.lo.r 😂
jaz_coronel_664,18031775897761893,Con agua sabe más rico 😋
keilahmad_,17989293572919623,La creencia de los reyes magos también lo llevaron los españoles amiga 🤭
cesar.garsan,18063833861256212,@keilahmad_ técnicamente todo lo relacionado a la religión católica 😅
gerardo_alonzo96,17906612493319870,Jajajajajaja no lo había visto
carolaina_ometochtli,18065838161221048,Así es como debe ser
scherzo_lascan,18372312040091025,La rosca es Española😂
javiervillanueva34,17887216932422985,"Es cierto, nuestros ancestros si sabían saborear el chocolate puro"
poncho_141,18069624350151709,"El chocolate siempre fue en agua, antes de que llegaran los españoles y le pusieran leche 😢"
raul_8119,18548005540048965,"Chocolate con agua porque con leche es de españoles, proceden a comer rosca de reyes (tradición catolica) 😂"
angelica_nrequena,17842563660676848,@andrey_najera  estabas en lo correcto pura cultura maya @bunny_10969 😂😂😂😂😂
bunny_10969,17915415531254118,@angelica_nrequena JA JA JA JA JA JA JA JA
sonaresmusicacr,17851615230617439,con agua y particulas del teflon de la cazuela 😂
gabrby06,18091170001790939,"Me encanta tu contenido, pero he de decir que la creencia de los reyes magos fue traída por españoles, nosé porque quieras hacerte moralmente superior por decir que el chocolate lleva agua"
cesar.garsan,17858440776591558,De dónde viene el chocolate? 👀
gabrby06,18093729092310256,"@cesar.garsan De México, pero es bastante hipócrita querer hacerse moralmente superior por decir que el chocolate lleva agua, celebrando el día de reyes, una tradición traída por Españoles"
alan.rr12,18117066478595725,"Mi todo retrasada que no fue ni a la escuela, el chocolate lleva agua, se sabe eso desde Yucatán hasta en el centro de la república 😂😂😂😂"
ericarturo.riosorozco,18113425564718231,"Así es demasiado estúpido, celebrando una tradición traída por españoles y se preocupan por el chocolate, está bien que sea típico de allá, pero hacer hincapié del hate a los español ya da flojera"
el_joseluser,18388927345148100,@alan.rr12 y porque decirle retrasada??? Ella solo opino
licenciado_lobato_mg,18373997350081500,"@alan.rr12 en el norte le ponemos leche y sabe más rico, de nada."
chucho_hdez2,17856208860547583,Y seguramente la Rosca de Reyes es una tradición muy mexicana 🤣🤣🤣🤣
adi.en.cafe,18123148894553726,😂
arte_en_la_luz,18091081360808074,"Mexicana si, prehispánica no, hay que saber diferenciar que México como país no existía y que esta constituido por muchos pueblos pero se han ido formando tradiciones que compartimos como México nación 😉"
hugosalva13,17846506344650598,"Tradicional es con agua y chile, si vas a honrar a tus ancestros hazlo con agua y chile."
hector_0710_,18559520212059982,Que chido cuando los mayas partían sus roscas de reyes
el_joseluser,18128365702514017,Me da un buen de cringe que pienses que siempre tiene la razón... antes era divertida ahora insoportable
mariomirandaortega,18081766702959183,Y seguramente el niño y la rosca es una tradición de Oaxaca
adi.en.cafe,18105968167678630,@mariomirandaortega 😂
ariadnaizaguirre,17922679599225708,Hay que ridícula y los reyes magos también son mayas no? Jajajajja
alan69828,18065208338233139,Con agua 🤢🤢 y la tradición de la rosca del niño dios de los reyes magos de la navidad 🎄 lo trajeron los españoles
checo_grizzly,18136961566432422,Seguramente la rosca también era antes de los españoles.
kraken8176,18177020539334711,El chocolate lo fumaban no? Y la rosca ha de ser muy maya ....
elizabeth_alva,18171411688384637,Yo de la CDMX tmb lo@hago con agua…
ecasgarcia,18141169237484512,Un delicioso chirriaguas
ecce_plimplim,17902631916194041,Y la rosca tmb era maya 😂
jose_noe_e,17945638227098353,Antes de los españoles tampoco había niño dios ósea que no había rosca y el chocolate si lleva leche
rodcerlulus,18109339603638930,¿Y la rosca es bien de orígenes mayas?
zyggy_may,17980681697794552,"Le pone agua al chocolate porque la leche es de españoles, pero come rosca de reyes que también es cosa de los españoles 🙄🙄🙄"
emilio_aglr,18122357827488605,Pero también llevaba chile 🤨 xd
la_diaz09,18068882543423517,Y la cochinita de donde es?
mitch_zemog,17984702651930139,Amo el chocolate con abuaaa
omaralanis_g,17988737876919531,"También sacrificaban personas en piedras, aún lo siguen haciendo ¿Cierto?"
elhombrehacha,18094979831489229,Wacala chocolate con agua jajajajaja mejor nadota
deyan_rip,18099931468854901,Y una pizca de chilito molido 🤤
gabssramirez.najera,18028389902595025,El roscón es español!!! 🤣
ivan.c.c.r,18097225051724590,"De nuevo , cuál conquista???"
richarddzib,17873299761491099,CHUC!!! 🔥🔥🔥🔥
maurizio_strada,18550006018043054,La rosa de reyes también es europea
licenciado_lobato_mg,18052266989425652,"Llevan leche y no hay más, en esa época andábamos en taparrabos y ya no verdad jajajaja, saludos desde Mty"
luis_balle262,18092292199982745,Y el pozole también lleva tlaxcaltecas?
alexmg10,18061423577640881,La rosca es de pan y no de tortilla?
fermaruizz,18398363146130670,"Es una gran bebida , chocolate con agua y si está frío meeeejoooor !! 😍"
jasiveelizabeth,17964531312007705,Así también en Oaxaca 😍
alexisdamnit,18124023646529792,Así se hace cuando uno es pobre también 😂
saul_3_2,18108989761725457,No sabia que los mayas celebraban día de reyes 😂
madeswork,18089305955081197,"A mí me gusta con agüita, se me hace muy pesado con leche"
hernandezinfonavit,18098843626894761,Con agua o con leche… cada quien lo toma como se le hincha su ch… madre
carlosorihuela90,18064336373246586,Chocolate con agua  pero con su rosca😂😂😂
johnrablack,17998085351854927,El de Oaxaca me encanta con agua
ranis_mj,18374489731080722,Soy chilanga y prefiero el chocolate con  agua
gaieta.17,17909588223142882,El trigo es de medio oriente y lo trajeron los españoles igual que el chocolate con leche
alfredoaguirreart,18049693541694412,"Si asi probé chocolate con agua en Oaxaca, me cayó raro, es que en la cdmx lo tomamos con leche .... la costumbre caray ..."
lucia.sandovalrobles,18090111923071482,Es más rico con agua que con leche ❤️❤️
desiree.rar,18090315505820338,Chocolate con agua>>>>> chocolate con leche 👏👏
h.gorgonionava,18090336518076894,😂😂😂😂😂😂 se enoja en yuca  jajajajjaa
jesuukiaa,17870476347525797,"Chuc, Chuc 😍deli deli"
me_dicen_chema,18421592455143021,En Oaxaca tambien se toma chocolate con agua como debe ser!
laisaul.guzman,18168923062388508,"Eso es muy cierto, en Oaxaca se ha e el tejate una maravilla delicioso 😍😍😍😍😍😍"
mar.olivares.148,18068309357395698,En puebla también  lo hacemos con  agua  y en mi pueblo una barra de abuelita para dos litros  de agua 😂😂😂
greemaiia,18089854922280681,"Si, el chocolate es con agua 🔥. Solo la raza débil lo toma con leche."
aibarra8a,18089559419085604,"Mi familia lo hace en agua, chopeado con pan birote o bolillo"
pachecereus,18338859028215250,Procede a partir rosca jasjjajs😂
pepe_godinez9,18075853094053374,La rosca es tradicion de España
