hashtags:,#AquiStaSuUrsulita,#QueHermosaVoz,#DanielAyala
post_url,username,comment_id,comment_text
alexaaaaaaa.a,17861282425051171,https://www.instagram.com/p/BB77xOfSAm-/,@valeperezh18
gretafloresgarcia_,17859655192051171,https://www.instagram.com/p/BB77xOfSAm-/,Jajajajajaj Jajajajajaj
selenecetina,17859432826051171,https://www.instagram.com/p/BB77xOfSAm-/,Jajajaja eres excelente
j0c3.pp,17859264088051171,https://www.instagram.com/p/BB77xOfSAm-/,Jajajajaja
lalita_kandelario,17858828710051171,https://www.instagram.com/p/BB77xOfSAm-/,Jajajajajajaja eres la mejor!!!
alimonserratmorenoalvarado,17858071912051171,https://www.instagram.com/p/BB77xOfSAm-/,Jajajaja
gabrielpm2,17857281739051171,https://www.instagram.com/p/BB77xOfSAm-/,JAJAJAJAJAJAJAJAJAJAJAJA
luisagpreve,17856553543051171,https://www.instagram.com/p/BB77xOfSAm-/,@georginamaldonado
lety_valdi,17856380074051171,https://www.instagram.com/p/BB77xOfSAm-/,@abrilvalenzia @jorgerodar
greisypb,17856370759051171,https://www.instagram.com/p/BB77xOfSAm-/,Jajajajajja @chinysol buenisimo
chinysol,17856345250051171,https://www.instagram.com/p/BB77xOfSAm-/,@greisypb
chinysol,17856345244051171,https://www.instagram.com/p/BB77xOfSAm-/,JJajajja @lety_valdi
marilurosadososa,17856311965051171,https://www.instagram.com/p/BB77xOfSAm-/,Jajajajajajaaajajajja @lety_valdi
lety_valdi,17856310942051171,https://www.instagram.com/p/BB77xOfSAm-/,@chinysol @marilurosadososa @ini_millan jajaja
ltz_507,17855947150051171,https://www.instagram.com/p/BB77xOfSAm-/,@claudia_yah
lorecascio,17855923735051171,https://www.instagram.com/p/BB77xOfSAm-/,😂😂 @teresaem
teresaem,17855922688051171,https://www.instagram.com/p/BB77xOfSAm-/,@lorecascio
mlewisjones,17855921641051171,https://www.instagram.com/p/BB77xOfSAm-/,😂 @isaimartinz
alespido,17855871742051171,https://www.instagram.com/p/BB77xOfSAm-/,@usuditaa  JAJJAA
josehuido,17855796706051171,https://www.instagram.com/p/BB77xOfSAm-/,Mas bien pareses la hermanastra mas fea de  shrek
adelaidamoore,17855736715051171,https://www.instagram.com/p/BB77xOfSAm-/,@samisabisami 😂😂😂
isabelfernandezs,17855715382051171,https://www.instagram.com/p/BB77xOfSAm-/,@cinthiafernandez_
humasaarel,17855659441051171,https://www.instagram.com/p/BB77xOfSAm-/,Jajajajjaja😂😂😂😂
alicesanchezmtz,17855571124051171,https://www.instagram.com/p/BB77xOfSAm-/,Jajajajajajajajajajaja
anandhiley,17855565961051171,https://www.instagram.com/p/BB77xOfSAm-/,@arsanchezm
rociobs82,17855562697051171,https://www.instagram.com/p/BB77xOfSAm-/,Jajajaja 😂 jajajaja q loca
sugytapia,17855536066051171,https://www.instagram.com/p/BB77xOfSAm-/,Hahaha hahah @rositapiae
merycoot,17855531557051171,https://www.instagram.com/p/BB77xOfSAm-/,Jajajajajajajajajajaja! La verdad si 😂 @alexquezadar
superchivi,17855530036051171,https://www.instagram.com/p/BB77xOfSAm-/,@cachosview 😂😂😂😂😘
barbielastiri,17855529655051171,https://www.instagram.com/p/BB77xOfSAm-/,@rubicmc 😂😂😂😂
karinacabreral,17855529646051171,https://www.instagram.com/p/BB77xOfSAm-/,@nataliearandac JAJAJAJAJA a la nuestra le sale natural 😂😂😂😂
davidgonzalez010,17855529610051171,https://www.instagram.com/p/BB77xOfSAm-/,@armandodiazp
rositapiae,17855528692051171,https://www.instagram.com/p/BB77xOfSAm-/,Jajajaj @sugytapia
alexqrod,17855528419051171,https://www.instagram.com/p/BB77xOfSAm-/,@mericoot jajajajaja esta buenísimo
nataliearandac,17855527006051171,https://www.instagram.com/p/BB77xOfSAm-/,Jajajaja @karinacabreral Úrsula!!! Tenemos una mejor en rehabi jajaja
cieloespadaspadilla,17855526832051171,https://www.instagram.com/p/BB77xOfSAm-/,JajajajajaJajajajajajajajajaja
dominguez101813,17855526829051171,https://www.instagram.com/p/BB77xOfSAm-/,Jajajaja
marpreciado,17855525812051171,https://www.instagram.com/p/BB77xOfSAm-/,Igualita a @susanita_lizarraga @roussmillan @andre_castillo22 @eliespadas
lizzieordazn,17855524483051171,https://www.instagram.com/p/BB77xOfSAm-/,Jajajajajajajja jajajajajajajajajaja @axiort no mamar jajajajajajajajajaja
rs.exc,17855523187051171,https://www.instagram.com/p/BB77xOfSAm-/,Jaja @ter_riv @penakarleny
katynra,17855523076051171,https://www.instagram.com/p/BB77xOfSAm-/,@juan.aranda.90
emir_19,17855521144051171,https://www.instagram.com/p/BB77xOfSAm-/,@gaby.barrera jajajajaja ya en la noche iremos a ver sus tonteras jaja
gaby.barrera,17855520925051171,https://www.instagram.com/p/BB77xOfSAm-/,@emir_19 jueputa Tila jajajaajjajajajahaj
victor_marin16,17855520859051171,https://www.instagram.com/p/BB77xOfSAm-/,@woosdtock02
itzy_sc,17855520616051171,https://www.instagram.com/p/BB77xOfSAm-/,@contraleks @javierpedraza28
axiort,17855520580051171,https://www.instagram.com/p/BB77xOfSAm-/,Jajajajajajajajajajajajja jajajajajajajajajajaj @lizzieordazn
almap_ortega,17855520577051171,https://www.instagram.com/p/BB77xOfSAm-/,Jajajajajajaja jajajaka muero jaja  eres increíble 😘
kryztta,17855520571051171,https://www.instagram.com/p/BB77xOfSAm-/,Preciosidad de voz!!!
