https://www.instagram.com/p/C9igQItIUCg/,hashtags:,#Yucatán
username,comment_id,text
alfonsopascualgonzalez2509,17888637321087910,😂😂😂😂😂😂
benjamindelaconcha,17986095515557230,
r.e.x.i.g.a.2.0.0.1.7,17929585754808154,Jajajajajaja
moruiniguez,18245189851257363,😂😂
lilybety,18062794273608881,😂😂
migangel3014,18031478096135183,Hasta te embarazan son peor que los morros del conalep
mferfloresr,17973291218746455,@a_wookie_on_lsd
lalobadlaluna369,17913564032887901,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
rachemil,17874125139132633,Asi son los Vampiritos yucatecos
neme_judo,17922217100941442,😂😂😂😂😂😂
fher.rodriguez29,18138224278337984,Jajajajajaja
rosauracervera,17888757032997985,Jajaja jajajaja
verodope,18098631295438674,😂
miroshkahd,18029712284276618,😂😂😂
georgina_vm,17991817508670496,😂😂😂😂😂😂😂😂😂
lagueraheron,18047409364845401,😂😂😂😂😂
c.gamboa,17868945642152697,😂😂😂
j3nn1f3r9,17965591094781146,😂😂😂😂😂😂😂😂
maria.t.boue.18,18304891669091202,😂😂😂😂
gyhm_2009,18051214537783198,😂😂😂😂
ange_lajime,18035693567078545,Jajajajajaja muy bueno 😘🙏
zig.travels,18004689749343153,@moonlightbae_11003
elnacalderon,18031708480924444,😂😂😂😂😂
nelson_carreras_mens,17980248641585400,😂😂😂😂
adriiromero28,18149346664316398,Esta guapo ese conductor
jorgitoberzunza,18277606369227310,Te meten su pollo😂😂😂
erosacaceres,18073121608524290,Jajajajajaa usitos nada más 😂😂😂
gabriela_saldana_coach,18050879122767489,😂😂😂
lidialorenamata,18016170749385807,😂😂😂😂
amelia10946,18037176037960258,😂😂
edyo2177,18038355745946687,Y eso que no sabes de los moscos en Holbox😂
qjstjo,17921253053940261,😂😂😂😂😂
triayfrance,18443504827034171,Jajajajjaja 😂😂
jorge_trotramundos78,18089325880459073,😂😂
lovelovepolwet,18050082805640316,Jajaja si son terribles los moscos AKI en Mérida pero nada que un cono de huevo no solucione😂😂😂😂😂
marhacroshet.2024,17880647295039261,Cómo se llama el conductor creo que lo conozco
chefuziel,17931281258791353,"Y eso que no has sentido los de Tabasco, esos hasta estando en clima están."
