hashtags:,#LasPanucheras,#meLaPasoPorLasWebs,#DanielAyala
post_url,username,comment_id,comment_text
_.emadera,17852427436061556,https://www.instagram.com/p/_YgOEuSAuo/,La mejor noche 😂💕
toleke,17852372740061556,https://www.instagram.com/p/_YgOEuSAuo/,@saydefreyre vamos!!
karen_chan7,17852370070061556,https://www.instagram.com/p/_YgOEuSAuo/,"JAJAJAJA, excelenteeeee @eduardo_orozco01"
eduardo_orozco01,17852362507061556,https://www.instagram.com/p/_YgOEuSAuo/,Me lo paso por los... Ahí estaremos @karen_chan7 JAJAJA
karen_chan7,17852362189061556,https://www.instagram.com/p/_YgOEuSAuo/,@eduardo_orozco01  tons que?
luisynk_art____,17852356501061556,https://www.instagram.com/p/_YgOEuSAuo/,Arreeeee!! Saludos desde poza rica ver.
harry.vazquez,17852355412061556,https://www.instagram.com/p/_YgOEuSAuo/,Te amo @tilasesto
