hashtags:,#princesa,#renacuajos
post_url,username,comment_id,comment_text
nanetmorgado,18043392274843095,https://www.instagram.com/p/C6cEIj1Khcu/,😂😂😂😂😂
lluvia_brisaa,18101398561407223,https://www.instagram.com/p/C6cEIj1Khcu/,Soy mujer no animal😂😂😂 jajajaj
lluvia_brisaa,18022244756048719,https://www.instagram.com/p/C6cEIj1Khcu/,😍😂😂😂
mitosleal,17860348038156601,https://www.instagram.com/p/C6cEIj1Khcu/,😂😂😂😂
rioara208,18001899086336995,https://www.instagram.com/p/C6cEIj1Khcu/,😂😂😂😂😂😂
axel_2006_m,18032490907834846,https://www.instagram.com/p/C6cEIj1Khcu/,Le da vibra ese acento
tilasesto,18022503104194055,https://www.instagram.com/p/C6cEIj1Khcu/,@axelmatlau que clase de vibración sientes? 😏
axel_2006_m,18314119963196690,https://www.instagram.com/p/C6cEIj1Khcu/,Son yucatecos 😂😂
tilasesto,18020902712260074,https://www.instagram.com/p/C6cEIj1Khcu/,@axelmatlau yo soy de Nueva Zelanda
hrotrick,17875920882021772,https://www.instagram.com/p/C6cEIj1Khcu/,👎🏽👎🏽👎🏽
mvz_liliale,18029267090071473,https://www.instagram.com/p/C6cEIj1Khcu/,@hrotrick disculpe amable ….😂
rosalinda0305,17859795462149475,https://www.instagram.com/p/C6cEIj1Khcu/,"Pero, por qué los insultos qué motivo hay para insultar? Cholo jamás insultó y era graciosídimo"
tilasesto,18064472071537007,https://www.instagram.com/p/C6cEIj1Khcu/,"@rosalinda0305 pues,por que no insultar y censurarme? que motivo hay para no insultar? Polo Polo insultaba de a madres y era graciosisimo, sigo sin entender en que te perjudica?"
rosalinda0305,18017284298060626,https://www.instagram.com/p/C6cEIj1Khcu/,@tilasesto Polo polo nunca me pareció gracioso era comedia para adultos  pero en fin tú decides
tilasesto,18056037523618166,https://www.instagram.com/p/C6cEIj1Khcu/,"@rosalinda0305 jajajaja doña, hace 18 años que decidí, mi comedia también es para adultos, y gracias a Dios, lo que a usted le parezca gracioso no es un medidor de comedia, solo, una preferencia, como la que tenemos todos, tanto para consumir como para Ejecutar, saluditos 🤭"
jvknt,17926374545856180,https://www.instagram.com/p/C6cEIj1Khcu/,Prostitución de la cultura
tilasesto,17880395694080810,https://www.instagram.com/p/C6cEIj1Khcu/,@jvknt no le faltes al respeto al trabajo de tu Madre 🤣🤣🤣
amelia10946,18005343419250706,https://www.instagram.com/p/C6cEIj1Khcu/,😂😂👏👏
helenakaliope,17934979421835525,https://www.instagram.com/p/C6cEIj1Khcu/,Es una frágil flor😂😂😂😂
tilasesto,18266784121173734,https://www.instagram.com/p/C6cEIj1Khcu/,"@helenakaliope si soy fragil, cuando me conviene 😜"
ricardr_sp,18042234292766626,https://www.instagram.com/p/C6cEIj1Khcu/,😂😂😂😂😂😂😂😂😂😂👏👏👏👏👏👏👏👏👏👏👏👏👏❤️❤️❤️❤️❤️❤️
lapockapalacios,17895181764003855,https://www.instagram.com/p/C6cEIj1Khcu/,👏👏👏👏👏
