hashtags:,#SALADDIN,#BAILARINES,#COMEDIA
post_url,username,comment_id,comment_text
angie_yucamor,18060712045735761,https://www.instagram.com/p/C5Wu-qevpuH/,Eres genial Tila
lapockapalacios,18054818806520561,https://www.instagram.com/p/C5Wu-qevpuH/,😂😂😂😂😂😂
garciaislasalejandra,18113799721368855,https://www.instagram.com/p/C5Wu-qevpuH/,Vengan a la CDMX porfavor!! 🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻
martharodriguezc1,18021675365118160,https://www.instagram.com/p/C5Wu-qevpuH/,Ta chulo el de amarillo jjjajaja
susanabacab,17963494751727651,https://www.instagram.com/p/C5Wu-qevpuH/,😂😂
amelia10946,18024807205896878,https://www.instagram.com/p/C5Wu-qevpuH/,😂😂😍😍
kriz_hdz_,18004149329431193,https://www.instagram.com/p/C5Wu-qevpuH/,Cuando regresan a playa del carmen? Con esa obra
nenasfg,18036365815839136,https://www.instagram.com/p/C5Wu-qevpuH/,"@valeria_reyes_f94 , lo que disfrutarás"
saulchi_11,18007996904171674,https://www.instagram.com/p/C5Wu-qevpuH/,Fan de ti TILA😍😍😍 Recuerdo que Saladín la vi en el teatro de Calkiní y las risas jamás faltaron 👏👏 ORGULLO YUCATECO😍
mara.zapataa,17998770104327331,https://www.instagram.com/p/C5Wu-qevpuH/,😂😂😂
sergioenriqueperezarriaga,17995048094366640,https://www.instagram.com/p/C5Wu-qevpuH/,😂
russelnavarrete_,17881640660985182,https://www.instagram.com/p/C5Wu-qevpuH/,Nos vemos en HERCULEY 😍
jessieysele,18259443091171047,https://www.instagram.com/p/C5Wu-qevpuH/,JAJAJAJA tu cara al final
davidbjorqz,17917373429801588,https://www.instagram.com/p/C5Wu-qevpuH/,😂😂😂😂😂😂
judith_arceo11,18016564157255264,https://www.instagram.com/p/C5Wu-qevpuH/,@serchwandowski11 vamos a verlo
chio.cr.rdgz,18059018509550004,https://www.instagram.com/p/C5Wu-qevpuH/,"Recuerdo cuando la trenza se le enrolló en el cuello a Ruperta, y le dio un ataque de risa 😂😂😂😂"
josue.alberto06,18025375649044762,https://www.instagram.com/p/C5Wu-qevpuH/,Tila…..regresa a Ciudad del Carmen con este show. 🙌
gianlabrador,18024184712032051,https://www.instagram.com/p/C5Wu-qevpuH/,@geronimo.12k  siempre quise ver este 😂
bustanisara,17882470335032251,https://www.instagram.com/p/C5Wu-qevpuH/,"Recuerdo que cuando vinieron a Tuxtla por primera vez...la verdad quedé fascinada! No pare de reír... Muy elocuente, espontánea con sus locuras... Espero pronto pueda tener la oportunidad de volver a verlas en Tuxtla! Un abrazo y beso!"
aurocaro,18051413497613510,https://www.instagram.com/p/C5Wu-qevpuH/,Cuando repitem?
christy_canul,17968726007704289,https://www.instagram.com/p/C5Wu-qevpuH/,Jajajja amo el show😍😂 todo el elenco es lo mejor👏❤️
sofirodche,18040332598827302,https://www.instagram.com/p/C5Wu-qevpuH/,Es que nuestro sueldo dependía de cuánto tiempo nos quedábamos estáticos 😭
_nanislife,17845341279183171,https://www.instagram.com/p/C5Wu-qevpuH/,@sofirodche jajajajaja tqm Sooofiii🥰
yuli.rp24,18017060345192103,https://www.instagram.com/p/C5Wu-qevpuH/,@sofirodche 👏👏👏
jocelynruz_,18121525519354120,https://www.instagram.com/p/C5Wu-qevpuH/,🤩🤩🤩
jazzokury,18045966388640271,https://www.instagram.com/p/C5Wu-qevpuH/,@chaloav
victorleonnnn,18055049020604510,https://www.instagram.com/p/C5Wu-qevpuH/,La amamos jefa 🫶🏼❤️✨
yuli.rp24,17972350064686832,https://www.instagram.com/p/C5Wu-qevpuH/,Viva aaa sakuraaaaa❤️
yuli.rp24,18005288810412846,https://www.instagram.com/p/C5Wu-qevpuH/,Bella @sofirodche 👏
im.abner,17984921312643377,https://www.instagram.com/p/C5Wu-qevpuH/,Nos vemos el 10 de abril 😍
tilasesto,18124208749342717,https://www.instagram.com/p/C5Wu-qevpuH/,@im.abner ya tienes tu boleto?😳
im.abner,18021218567291249,https://www.instagram.com/p/C5Wu-qevpuH/,@tilasesto Siii 🙌
arturorodriguez2347,18122613766354550,https://www.instagram.com/p/C5Wu-qevpuH/,Tu si Tila la mejor la Meztiza más risueña 😂
jaisielcontreras,18064220068468372,https://www.instagram.com/p/C5Wu-qevpuH/,@grettysinai
im.abner,18035052949847109,https://www.instagram.com/p/C5Wu-qevpuH/,😂 👌🏻
giobaeza25,18045957547655952,https://www.instagram.com/p/C5Wu-qevpuH/,Jajaja
crislaracervera,18015218378511919,https://www.instagram.com/p/C5Wu-qevpuH/,Jajajaja morí en vivo me dio vida por video jaja😂👏👏
potrillo029,18011815784464658,https://www.instagram.com/p/C5Wu-qevpuH/,😝😝😝😝👏🏼👏🏼👏🏼
helenakaliope,17877550046998312,https://www.instagram.com/p/C5Wu-qevpuH/,😂😂😂
yeisonlevy,17921480399791627,https://www.instagram.com/p/C5Wu-qevpuH/,"eres,el mejor bro, te felicito @arceo_adrian"
yeisonlevy,18057026197562920,https://www.instagram.com/p/C5Wu-qevpuH/,🙌🙌🙌@sofirodche  felicidades
mfer.lpz,18026299138997232,https://www.instagram.com/p/C5Wu-qevpuH/,Tendrá el Instagram del m&m amarillo es para una tarea
delwinpadilla,18012183923188185,https://www.instagram.com/p/C5Wu-qevpuH/,@mfer.lpz https://www.instagram.com/victorleonnnn
alinasalazarg,17987906108486453,https://www.instagram.com/p/C5Wu-qevpuH/,Jajaja😂😂😂 jajaja😂😂😂
arceo_adrian,17911102784925624,https://www.instagram.com/p/C5Wu-qevpuH/,"Jajajaja love u jefecita, ya quiero que todos vean la nueva obra 🤩🔥"
soy_josue_esau,17874930096118172,https://www.instagram.com/p/C5Wu-qevpuH/,@arceo_adrian Etiqueta al joven de amarillo por favor!!
soy_josue_esau,18196191019294264,https://www.instagram.com/p/C5Wu-qevpuH/,@arceo_adrian Es para una tarea 😂
