hashtags:,#humor,#comedia,#dccomics
post_url,username,comment_id,comment_text
abraham_molis,18050065622642001,https://www.instagram.com/p/DPE_-kSiLQt/,😂😂 acabo de jugar el arkham❤️
nightdemon_uwu,18093736936616143,https://www.instagram.com/p/DPE_-kSiLQt/,1Se supone que canario negro no se una villana es una heroína  y JAJAJAJAJAJAJA NO SE TRAGO LA TELE aml 🫶🏻
