hashtags:,#principeazul,#sapos,#besar
post_url,username,comment_id,comment_text
gabbytalps,18423647095058652,https://www.instagram.com/p/C4rTcRBC3YQ/,😂😂😂😂😂
alee.sanch3z,18027079417833028,https://www.instagram.com/p/C4rTcRBC3YQ/,😂
viridianacoral,18027669493816043,https://www.instagram.com/p/C4rTcRBC3YQ/,😂😂😂
danielquerog,18085936900432010,https://www.instagram.com/p/C4rTcRBC3YQ/,Jajajaja
esquivelguadalupe32,18291097735084239,https://www.instagram.com/p/C4rTcRBC3YQ/,😂😂😂😂
grandiosa888,18258354742169083,https://www.instagram.com/p/C4rTcRBC3YQ/,Ahh..🤔.. 🐸 Con razón 😜
didismhst,18007856036139152,https://www.instagram.com/p/C4rTcRBC3YQ/,Gracias por decirme el típ @tilasesto
ndyux,17868645429083853,https://www.instagram.com/p/C4rTcRBC3YQ/,Ah jajaja
