hashtags:,#Bloopers,#grabacion
post_url,username,comment_id,comment_text
securityacanto,18276081268229085,https://www.instagram.com/p/C8cz1sgOTK3/,@shakifame
soylo,18011032313258768,https://www.instagram.com/p/C8cz1sgOTK3/,😂😂😂
marianagpasos,18082886005468444,https://www.instagram.com/p/C8cz1sgOTK3/,JAJAJAJJAAJ
hrotrick,17941471367830692,https://www.instagram.com/p/C8cz1sgOTK3/,👎🏽👎🏽👎🏽👎🏽👎🏽
md.bajonero,18005209679533302,https://www.instagram.com/p/C8cz1sgOTK3/,Ig del chico ? Es para una exposición de bloopers ..😏🙃😌
dalia_cuatepotzo,18036405793819895,https://www.instagram.com/p/C8cz1sgOTK3/,Ya te imaginé dentro de la lavadora!!! 😂
marinaaguilargon,18015764678458462,https://www.instagram.com/p/C8cz1sgOTK3/,😂😂😂
maguito_corona,18302713102083153,https://www.instagram.com/p/C8cz1sgOTK3/,😂 me encanta su acento
fabisanchez03,18080817772481138,https://www.instagram.com/p/C8cz1sgOTK3/,😂😂😂
