https://www.instagram.com/p/C4v6xvNKB31/,hashtags:,#teregañoenyucateco
username,comment_id,text
montesinoaxel21,17984167781518763,"Ay señora tilasesto, voy por buen camino ❤️ gracias por confirmar el camino que estoy siguiendo jajajaja😂"
adellycm,18052102579608539,Absolutamente cierto. Patitas para que las quieres
dalia.diaz.58958,18014573822241227,🙌
mariacortes384,18281539930165036,🙌❤️
madiilima,17917551605874262,Muuuuuuy ciertoooooo!!! Jajaja
tt_mayo,18102089284377117,Cierto
clever.rc,18057414049497791,Me parece o le crecieron las chichis 😂 jajajajaja ya se puso las siliconas jajajajaja😂
soysanwellness,18309073177180457,😂😂😂😂
