hashtags:,#LoMejorDeYucatán!,#LoMejorDeYucatán
post_url,username,comment_id,comment_text
latiachayooficial,18093051589456789,https://www.instagram.com/p/C-_I1fbtUGx/,"❤️❤️❤️❤️❤️ Así es comadre que honor y que orgullo, muchas felicitaciones por obtener este merecido reconocimiento que te dio nuestro público querido ❤️❤️❤️❤️ ¡Muchísimas felicidades!"
amelia10946,18413429116079816,https://www.instagram.com/p/C-_I1fbtUGx/,👏👏❤️❤️❤️❤️
hekthor791111,18043588882791242,https://www.instagram.com/p/C-_I1fbtUGx/,"Tila SASHAY te quedas… Chinis Sashay te quedas Tía Sashay también te quedas . Triple EMPATE! YUCAcomedyQUEEN, start you engines, may the best COMEDYqueen WIN. 🏆"
jazchaste26,17902739079019731,https://www.instagram.com/p/C-_I1fbtUGx/,❤️❤️
ferislas_mistika,18072044593499721,https://www.instagram.com/p/C-_I1fbtUGx/,Felicidades!!!!👏👏👏
alidradr,17930496566809277,https://www.instagram.com/p/C-_I1fbtUGx/,🫶🏻✨✨
bojorquezordazanaesther,17934517511914432,https://www.instagram.com/p/C-_I1fbtUGx/,❤️❤️❤️❤️❤️Tila❤️❤️❤️❤️❤️❤️❤️👏👏👏
