https://www.instagram.com/p/__KqJhSAiI/,hashtags:,#BesosEnSuCulo
username,comment_id,text
ayatzy,17844463975117449,Gracias a ti por enseñarnos otro mundo y pintarnos no sonrisas carcajadas con tus vídeos bendiciones para ti y que esté año sea mejor que los anteriores @tilasesto
margareth.morenotzuc,17843834482117449,Feliz año chuli y que sigan los éxitos en todo lo que te propongas ❤👍👌😘 y besos igual donde ya sabes nenis!!!
karelimartin,17843832499117449,Eso y mas mereces
jeanne.estrada,17843832430117449,Felizidades y mucho exito ;)
willyancona7,17843831248117449,Felicidades Tila y no vayas a flojear hechale más ganas.
raot23,17843831152117449,Te lo mereces tila humildad y mucho trabajo👍
n_o_w_l_o_a_d_i_n_g,17843830966117449,Mucha felicidades hermosa💖💖💖💖💖💖💖
pepenapiranita,17843830057117449,Eres grande Tila sigue adelante!!!
mestebanph,17843827876117449,Felicidades y que sigan los exitos 👏👏👏
roushermosita,17843827780117449,"Feliz año Tilita,  que sigan cosechando exitos!!!! Mega bendiciones para la hermosa familia que tiene y siempre para adelante..."
bebeto1965,17843827663117449,"muchas felicidades, que sigan los éxitos"
alemenciasg,17843825722117449,"Feliz año Óscar @tilasesto !!!! 🎉🎉🎉 y conmigo desde luego has conseguido sacarme carcajadas como hacía tiempo no soltaba 😁✌🏻️ fíjate, soy del D.F , me crié en Mérida,Yucatán  y con 12 años me vine a vivir a Madrid. Estoy casada con un madrileño que también disfruta de tus vídeos tremendamente. Siempre vemos tus vídeos juntos 😀 y ojalá podamos ir a verte al teatro algún día! Te deseo que sigas cumpliendo muchos sueños y que sigas sacándonos esas carcajadas. Un fuerte abrazo y mis mejores deseos para este año !!"
jazp2019,17843825227117449,"Eres grande Oscar @tilasesto y a la vez sencillo, eso es de valorarse. Abrazos afectuosos y muchos éxitos para este 2016 te lo mereces !!!"
maribelula01,17843824378117449,"PD. Gracias a ti por los buenos momentos de tus presentaciones, mucho éxito para este año y más."
maribelula01,17843824372117449,"¡¡¡Feliz año 2016 Tila !!! Yo soy del df  y me casé con un yucat. siempre que visito Yucatán y hay obra tuya yo voy corriendo!!! Te conocí con el video de ""como entender a un Yucateco"" jajaja muy buena guía por cierto. Te mando un fuerte abrazo y que te sigan lloviendo bendiciones y amoooorrrr, eres bell@ @tilasesto"
caroguemez,17843824231117449,"Ante todo humildad. Gracias por tantas risas, te amoooo💓"
lynadelgado,17843823772117449,Besos en tu pirix. . . !!!
adya83,17843823355117449,Feliz año! 🎉🎉🎉🎉🎉☺️🙃
ghgustavoharry,17843823349117449,Soy una de esas personas apesar de que me hiciste bullyng en uno de tus show de Cancún jaja feliz año Tila 😄🎊🍾🎉
