hashtags:,#TeatroDelPueblo,#FeriaDePlayaDelCarmen
post_url,username,comment_id,comment_text
auroralango18,17935201509059726,https://www.instagram.com/p/DMG_lGjozvl/,Fan desde 2015 y a penas tuve oportunidad de verte en vivo y en directo wow eres una bestia en el escenario!!!! Mori de risa todo el rato gracias superaste mis expectativas ❤️
santiagoarenas98,17917939116015098,https://www.instagram.com/p/DMG_lGjozvl/,😍😍
azulblu194,17863103130431826,https://www.instagram.com/p/DMG_lGjozvl/,"Gracias por esa noche, aparecí en primera fila que sigas llenando de alegría siempre con tus comedias👏 👏👏"
