hashtags:,#REBELDE,#RBD
post_url,username,comment_id,comment_text
paosandoliv,17889277524147313,https://www.instagram.com/p/DKFR3jyI5ao/,Jajaja 🤣🤣🤣🤣
lecf25,18505920772043895,https://www.instagram.com/p/DKFR3jyI5ao/,Que saquen obra jaja 😍 amooo
paosandoliv,18076263190881211,https://www.instagram.com/p/DKFR3jyI5ao/,@lecf25 X2!!!!
dinamomina09,17955070661956049,https://www.instagram.com/p/DKFR3jyI5ao/,La mía retiene mucha miiaarda 😂
hekthor791111,18073551400909249,https://www.instagram.com/p/DKFR3jyI5ao/,Ame a Mía Coluchi
anghy_dme,17954663258814704,https://www.instagram.com/p/DKFR3jyI5ao/,Saquen gira😍😍
c.har.l.e.s,17888796426264071,https://www.instagram.com/p/DKFR3jyI5ao/,Fan de Mía Nariguchi🤣🤣🤣
isma_bs11,18063759728121836,https://www.instagram.com/p/DKFR3jyI5ao/,Siiii
