hashtags:,#10DeMayo,#DiaDeLasMadres
post_url,username,comment_id,comment_text
irujarips,17879762341031072,https://www.instagram.com/p/BT6ErETDXld/,Un día muy bueno nos divertimos como locas gracias @tilasesto por ir
margaretjones4564,17879778181028061,https://www.instagram.com/p/BT6ErETDXld/,"Tila lo primero que haré al ir a Mérida, es ir a verte,"
lixi_pb,17868549010112230,https://www.instagram.com/p/BT6ErETDXld/,Lo bueno de ser madre es tener esa hermosurita a tu lado... lo malo es q no pude ir al evento😢😢😢😢
mary_fili_2901,17866273744088431,https://www.instagram.com/p/BT6ErETDXld/,Quisiera asistir a una de tus presentaciones.
estephitahb,17868928060107162,https://www.instagram.com/p/BT6ErETDXld/,Quiero ir a verla @_ildelissa_
carolina.rubiio,17874768265067226,https://www.instagram.com/p/BT6ErETDXld/,Ve el final @esmeralda_rubio  tenemos que verla pronto
reykoala,17881179220028816,https://www.instagram.com/p/BT6ErETDXld/,Me encantas tienes esa chispa que haces reír sin caer en lo vulgar sigue así eres super!!!!!
mariterebraga,17856845404149579,https://www.instagram.com/p/BT6ErETDXld/,Ay te amo!! Me encanta verte en accion 🙊😍
