hashtags:,#SinBandera,#OyeMiCantoYAhogateEnMiCadera
post_url,username,comment_id,comment_text
garduzacordova,17852438362089252,https://www.instagram.com/p/BKwFl2hgTlj/,Hola
salam_atik_v,17852210767089252,https://www.instagram.com/p/BKwFl2hgTlj/,Está feliz por el coliseo?
humasaarel,17852208088089252,https://www.instagram.com/p/BKwFl2hgTlj/,Pelana
mistikachiquitita32,17852194015089252,https://www.instagram.com/p/BKwFl2hgTlj/,En primera fila vas a estar tilita estas super loquilla pero m caes super y mi hijo de 7 años te ama le encantan tus videos hay n nos dices como se puso
russelrivas,17852188324089252,https://www.instagram.com/p/BKwFl2hgTlj/,Nos vemos tila !!
addai01,17852188297089252,https://www.instagram.com/p/BKwFl2hgTlj/,@tilasesto jaja estás lurias pero me encantas...hahaha
gabypuerto23,17852187739089252,https://www.instagram.com/p/BKwFl2hgTlj/,Nos vemos ahí tilita 🤗
margareth.morenotzuc,17852187085089252,https://www.instagram.com/p/BKwFl2hgTlj/,Hay voy né!!!!!!!🤗🤗🤗🤗🤗😍😍😍😍
fredber_1987,17852185144089252,https://www.instagram.com/p/BKwFl2hgTlj/,@tilasesto  me dices como se puso 🙏
laaugasca,17852185039089252,https://www.instagram.com/p/BKwFl2hgTlj/,😂💙
alecbrb,17852184799089252,https://www.instagram.com/p/BKwFl2hgTlj/,😭😭😭😭
alecbrb,17852184787089252,https://www.instagram.com/p/BKwFl2hgTlj/,LLÉVAME
