hashtags:,#lacasadeoscarburgossatelite,#lacasadeoscarburgos
post_url,username,comment_id,comment_text
elpiolincalderon,18118938319583107,https://www.instagram.com/p/DT4kf3uDd70/,Awesooo pa! Rompiéndola en grande
peraltajovany,18003040433849920,https://www.instagram.com/p/DT4kf3uDd70/,Se rifaron con sus shows!!!
