hashtags:,#FestivalDeLaRisa,#YoYMiLadyChancleta
post_url,username,comment_id,comment_text
nayeramirezfoto,17843847478092735,https://www.instagram.com/p/BAC1V0uSAiP/,@reynaramirezm @alon_medina @smaggicr @eliascarrillor 🙈
yaniraac,17843845993092735,https://www.instagram.com/p/BAC1V0uSAiP/,Amor vamos!!! Vamos con tu ma y mi ma!!!! @miguelarturopina dale!!!!
marianachan1,17843845780092735,https://www.instagram.com/p/BAC1V0uSAiP/,@andrea_montalvo vamos!
mfailloud,17843845747092735,https://www.instagram.com/p/BAC1V0uSAiP/,@fabianjgc @monoarcila
gahbbie13,17843845453092735,https://www.instagram.com/p/BAC1V0uSAiP/,"Ven a León,Gto. Pliiiiiis. @tilasesto"
britanyajaira,17843845411092735,https://www.instagram.com/p/BAC1V0uSAiP/,Hooooooyyyy!!! Hooooyyyy!!!!!!!!
