hashtags:,#disney,#terapia,#sketch
post_url,username,comment_id,comment_text
_theweirdgirl_303,18280734781268824,https://www.instagram.com/p/DK06gClvqHe/,Con esos vídeo la conocí Tía Tila 🥹❤️✨
jdiegoae,18066967460084537,https://www.instagram.com/p/DK06gClvqHe/,❤️❤️❤️👏👏👏😂😂😂😂😂
soy_emiliano_15,18040915934312268,https://www.instagram.com/p/DK06gClvqHe/,Yo te conocí por ese vídeo y desde ahí me quedé aquí jsjs ❤️🙌 as más videos con las princesas
mayy2789,17978088857846588,https://www.instagram.com/p/DK06gClvqHe/,😂😂😂👏👏👏
marthalope,18058926749335342,https://www.instagram.com/p/DK06gClvqHe/,😂😂😂😂😂😂😂😂👏👏👏👏👏
iam.thechino,18051575141133775,https://www.instagram.com/p/DK06gClvqHe/,Las unicas sanas de la mente es Pocahontas y la bella de mulan
jazzleon9,18408365347105863,https://www.instagram.com/p/DK06gClvqHe/,JAJAJAJA JAJAJAJA JAJAJAJA tenemos que ir a verlas jajajajaja @louis__lion
mosandys,18093197086611577,https://www.instagram.com/p/DK06gClvqHe/,Jajaja!!
eduardomunoz8221,18087284569581685,https://www.instagram.com/p/DK06gClvqHe/,😂😂😂😂😂
la_elisita,18224946526293940,https://www.instagram.com/p/DK06gClvqHe/,😂😂😂😂😂
m.by__steph,17929939719061118,https://www.instagram.com/p/DK06gClvqHe/,Con este video en la secundaria nos basamos para una obra sjkss
paopacheco0,18105883459499222,https://www.instagram.com/p/DK06gClvqHe/,😂😂😂
angee_angyal,17887966104274584,https://www.instagram.com/p/DK06gClvqHe/,😢Esas verdades les dolieron😂😂😂
blancaortega72,17885574102297303,https://www.instagram.com/p/DK06gClvqHe/,😂😂😂👏
paosandoliv,18078612508880400,https://www.instagram.com/p/DK06gClvqHe/,😂😂😂😂
maradepazm,18511356211007388,https://www.instagram.com/p/DK06gClvqHe/,🤣🤣🤣🤣
vazquez.yenny,18484971952066502,https://www.instagram.com/p/DK06gClvqHe/,😂😂😂😂😂😂
anarosamartindel,18101991460553618,https://www.instagram.com/p/DK06gClvqHe/,🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤭
farashaartesynudos,17890229226256759,https://www.instagram.com/p/DK06gClvqHe/,😂😂😂😂😂😂
kcastro957,18062354950916069,https://www.instagram.com/p/DK06gClvqHe/,😂😂😂😂
pedronicdiaz,18069765653095074,https://www.instagram.com/p/DK06gClvqHe/,Pues la Bianca Nieves si que se parece a la nueva de la película
mirleypalmero,18045379439546530,https://www.instagram.com/p/DK06gClvqHe/,😂
marinaaguilargon,18006436025774722,https://www.instagram.com/p/DK06gClvqHe/,😂😂😂😂
momgm30,18059395952187867,https://www.instagram.com/p/DK06gClvqHe/,😂😂
missediacevedo,17907004116180329,https://www.instagram.com/p/DK06gClvqHe/,😂😂😂😂👏👏👏
jasiel_castilloo,18190783828313294,https://www.instagram.com/p/DK06gClvqHe/,yo quiero tener pescaditos
mahe132025,17952764084966651,https://www.instagram.com/p/DK06gClvqHe/,😂😂😂😂😂😂
maria.larab.3,17879931105221631,https://www.instagram.com/p/DK06gClvqHe/,😂
amelia10946,18049096337434401,https://www.instagram.com/p/DK06gClvqHe/,😂😂😂😂
pc_lucero,18041033138642587,https://www.instagram.com/p/DK06gClvqHe/,😂😂😂😂
hassy_06avilez,18276909238259659,https://www.instagram.com/p/DK06gClvqHe/,Te amoooooooo TILAAAAA
verodope,18090995962715246,https://www.instagram.com/p/DK06gClvqHe/,¡Dónde tienes la cabeza! ¡No te quiso por tus sentimientos! ¡¡Andas dando la voz porque las n@lgas las tienes de pescado! ¡Noooooo! 😂👏❤️
iniguezsegovia,18050247488141137,https://www.instagram.com/p/DK06gClvqHe/,Ay mato a las princesas jajaja
angee_angyal,17872693518370278,https://www.instagram.com/p/DK06gClvqHe/,"Huy no ahora imagínate con la Jazmín tu le creíste a un mentiroso y luego te besuqueaste con un viejo, para sacar al mentiroso del apuro en que los metió"
