hashtags:,#humor,#comedia,#antojo
post_url,username,comment_id,comment_text
diego_lemos96,18023122157502042,https://www.instagram.com/p/DKYl2bVCsS7/,Uy jajaja
mel.h.o,18275670253284478,https://www.instagram.com/p/DKYl2bVCsS7/,😂😂😂😂😂
