hashtags:,#comedia,#humor,#cdmx
post_url,username,comment_id,comment_text
frankyeromero,17942243341608813,https://www.instagram.com/p/CUNho1pDOcm/,😂😂😂
dona_lety51,17998018471370474,https://www.instagram.com/p/CUNho1pDOcm/,Yo cuando voy a  la CDMX tengo mucho cuidado 🙍🤔🥺🙄😞😞😢🇲🇽🇲🇽
lornamaga_,17902104161253315,https://www.instagram.com/p/CUNho1pDOcm/,😂😂😂😂
bolomlu,17885403050404613,https://www.instagram.com/p/CUNho1pDOcm/,A mi también me encanta @ayalapliegoangelica @miau.zillak @pringola
bolomlu,17929067932772458,https://www.instagram.com/p/CUNho1pDOcm/,😂😂😂😂
sergio_lugoo,17913766951943802,https://www.instagram.com/p/CUNho1pDOcm/,Hola neta chilangos
rgutierrez0224,17912595419038107,https://www.instagram.com/p/CUNho1pDOcm/,😂😂😂
marycarinosa,17942497663595525,https://www.instagram.com/p/CUNho1pDOcm/,😂
reyniita_dom,17903097488282741,https://www.instagram.com/p/CUNho1pDOcm/,@karlamartin907 🙈🤣🤣🤣 aguas!!😂😂😂
karlamartin907,17891222225461568,https://www.instagram.com/p/CUNho1pDOcm/,@reyniita_dom 😂😂😂😂😂 No irè😅😅
reyniita_dom,17890370438329279,https://www.instagram.com/p/CUNho1pDOcm/,@karlamartin907 waaay y xk
karlamartin907,17907106997141089,https://www.instagram.com/p/CUNho1pDOcm/,@reyniita_dom A me roban mi cel jajajajajajajjajajajajaj
reyniita_dom,18253866637034832,https://www.instagram.com/p/CUNho1pDOcm/,@karlamartin907 😂😂😂😂😂😂😂😂😂
carlosantonio9543,18180073777183437,https://www.instagram.com/p/CUNho1pDOcm/,Jsjajaaj
pinkyhiccups_the_mexindian,17857682690630200,https://www.instagram.com/p/CUNho1pDOcm/,Por ese tipo de chistes.... xenofobia
hernanmndoza,18095279086304974,https://www.instagram.com/p/CUNho1pDOcm/,"@pinkyhiccups no es xenofobia, solo es humor y chiste, relajate un rato"
pinkyhiccups_the_mexindian,17939665828772125,https://www.instagram.com/p/CUNho1pDOcm/,@hernan.mndza 😂
anamontes2016,17923707091759208,https://www.instagram.com/p/CUNho1pDOcm/,Los amoooooo
marciabatunpuc,17913857987008931,https://www.instagram.com/p/CUNho1pDOcm/,Jajaja te marearon los chilangos
karlitarogu09,17867083454543079,https://www.instagram.com/p/CUNho1pDOcm/,Jajajajaj real!!! Ni cuenta te das saludos tilaaaaaa
lidia.santiago.5851,17902029677205365,https://www.instagram.com/p/CUNho1pDOcm/,😂😂😂😂
salatiel.josue,17854977347615797,https://www.instagram.com/p/CUNho1pDOcm/,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂🔥
hiryz_my,17862323579616842,https://www.instagram.com/p/CUNho1pDOcm/,😂😂😂❤️
patslindavista,17938128349624930,https://www.instagram.com/p/CUNho1pDOcm/,"Que mal estas Tila realmente es una falta de respeto para los que vivimos en la ciudad que pongas este tipo de post, todos sabemos que por $250 pesos te venden nada más la mica y el Case de tu propio celular! 😂"
momlawyer_yane,17935720060632354,https://www.instagram.com/p/CUNho1pDOcm/,😂😂😂
michlifeandart,17939913928615426,https://www.instagram.com/p/CUNho1pDOcm/,"Jajjaaajaja, eso nos pasaba con las llantas de la camioneta, y a la vuelta una llantera. 😂"
creaaloo,17942922676586082,https://www.instagram.com/p/CUNho1pDOcm/,No MMS eso no pasa aquí....
constanza_rivero,17875029542565986,https://www.instagram.com/p/CUNho1pDOcm/,@dani_rdza 😂😂😂 alguien pudo haberlo comprado de nuevo 😂
dani_rdza,17920670890909101,https://www.instagram.com/p/CUNho1pDOcm/,@constanza_rivero jajajaja
claudinavc,17890844525456193,https://www.instagram.com/p/CUNho1pDOcm/,Les extraño!!
claudymty1975,18001642639364690,https://www.instagram.com/p/CUNho1pDOcm/,😂
julio_martin_escamilla,18132718441225752,https://www.instagram.com/p/CUNho1pDOcm/,Jajaja aguas se pegan las manías
itzel1_g,18147266032174838,https://www.instagram.com/p/CUNho1pDOcm/,"Jajajjaja , si pasa"
hugui_bugi,17926175146834165,https://www.instagram.com/p/CUNho1pDOcm/,Y eso que no fuiste a la colonia Ramos Millán en Iztacalco
adrilutrillo,18179335807177714,https://www.instagram.com/p/CUNho1pDOcm/,"Oh Tila, no se meta con mi amada CMDX! 😂"
darinkitaruiz,17933104744673852,https://www.instagram.com/p/CUNho1pDOcm/,Lo mismito me pasó en el centro de Mérida😢😢
ezkibel__6,17899010132183034,https://www.instagram.com/p/CUNho1pDOcm/,Tila  disfruta CDMX México  nosotros estamos visitando Mérida
jimysanmar,17914453921997836,https://www.instagram.com/p/CUNho1pDOcm/,"Wey Tila, jajajaja eres culey"
agustin_pasos,17998874983349176,https://www.instagram.com/p/CUNho1pDOcm/,😂😂😂😂
alondrassy_,18126906136242002,https://www.instagram.com/p/CUNho1pDOcm/,Pos algo hay de eso jjajajaja pero possss
alejandro_sabido_el_maravilla,17917483669945012,https://www.instagram.com/p/CUNho1pDOcm/,😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍
negroecelia,17969432026442803,https://www.instagram.com/p/CUNho1pDOcm/,"Buena compra , amiga . Se feliz si así lo deseas. ❤️"
zayil.gabriela,18172490266197156,https://www.instagram.com/p/CUNho1pDOcm/,Me siento ofendida jajaja
perez.julio.902,17927540758770081,https://www.instagram.com/p/CUNho1pDOcm/,😂😂😂😂😂
wendyplazabaez,17921634772802985,https://www.instagram.com/p/CUNho1pDOcm/,Jaja no mames
kath_leni_var,17932394362690117,https://www.instagram.com/p/CUNho1pDOcm/,😂😂😂😂😂
bekaceron,17929977154739692,https://www.instagram.com/p/CUNho1pDOcm/,Parece chiste  pero es anécdota 😂😂😂
npjac,17913269489057130,https://www.instagram.com/p/CUNho1pDOcm/,Cuál es el itinerario???? A donde te vas a presentar???
brendaz.sandoval,17927489800808530,https://www.instagram.com/p/CUNho1pDOcm/,🤫🤨 Pero si no venden piñas en merida!!!! 😂
leticia_herrerra64,18092352142284077,https://www.instagram.com/p/CUNho1pDOcm/,🤣🤣
rosalialfaro,17920908481816932,https://www.instagram.com/p/CUNho1pDOcm/,Como le hacemos para conocerte? O saludarte ? estamos en la Cdmx
amintaramosa,18256622821042133,https://www.instagram.com/p/CUNho1pDOcm/,😢
titoquintalb,18062382541292160,https://www.instagram.com/p/CUNho1pDOcm/,Valio barriga señor vertebra
hotarumiura,17933506819673182,https://www.instagram.com/p/CUNho1pDOcm/,😂😂😂😂😂¡¡No le hagas Tila!!😢...No te vayan a robar el Hipil😱😅😅🤣🤣🤣🤣🤣
vlanza74,17935682767643820,https://www.instagram.com/p/CUNho1pDOcm/,😂😂
mir_mego,17935114756720893,https://www.instagram.com/p/CUNho1pDOcm/,Parece chiste 😂😂
nadineattack,17886633566362616,https://www.instagram.com/p/CUNho1pDOcm/,Ay ajaaaaa
iselahramirez,17886077294381106,https://www.instagram.com/p/CUNho1pDOcm/,😂😂😂
barrerabaezlucym,18104938930268188,https://www.instagram.com/p/CUNho1pDOcm/,😂😂😂
ravenozjackson,17902893485293159,https://www.instagram.com/p/CUNho1pDOcm/,No sea mamila se ve que no conoce la Ciudad de México no sea cabezona  haaaaaaa!
dulcachach,18251139841059379,https://www.instagram.com/p/CUNho1pDOcm/,😂😂😂😂😂😂😂😂😂😂
rociocr2_,17905988297068376,https://www.instagram.com/p/CUNho1pDOcm/,😂😂😂😂😂😂
