hashtags:,#ConsejosConMarcoAntonio,#humor,#comedia
post_url,username,comment_id,comment_text
elyzaa_beth,18083506948742248,https://www.instagram.com/p/DKfWfQgsq-d/,😂
salylupita_cortes_olivo,18091611784545309,https://www.instagram.com/p/DKfWfQgsq-d/,Claro que existeeeee y esta en el sur 😁
ofeliam5,18086884606654999,https://www.instagram.com/p/DKfWfQgsq-d/,😂😂
