hashtags:,#VERACRUZ,#Pipirin,#comedia
post_url,username,comment_id,comment_text
teque_art,18512390842000308,https://www.instagram.com/p/DKz8ueuBGMj/,😂😂😂😂
beluna51,18088726426647672,https://www.instagram.com/p/DKz8ueuBGMj/,"Quisiera saber de donde se compró esa polera, Tila. La necesito"
gilberto_yogui_gonzalez,17863289175354594,https://www.instagram.com/p/DKz8ueuBGMj/,Y si son postizas?
lalapink_laguna,18079296943675238,https://www.instagram.com/p/DKz8ueuBGMj/,😂😂
abrilpe22,18122282902457507,https://www.instagram.com/p/DKz8ueuBGMj/,😂😂😂😂😂😂😂
