hashtags:,#amigas,#humor,#comedia
post_url,username,comment_id,comment_text
carmita_ecd,18024642341526268,https://www.instagram.com/p/DN1LOp43Hej/,Me identifiqué!!! 😂😂😂
pc_lucero,18079606328500798,https://www.instagram.com/p/DN1LOp43Hej/,😂😂
esquivelguadalupe32,18070856111117353,https://www.instagram.com/p/DN1LOp43Hej/,😂😂😂😂😂😂
carmita_ecd,18334322053200030,https://www.instagram.com/p/DN1LOp43Hej/,
