hashtags:,#Comedia,#ping,#pong
post_url,username,comment_id,comment_text
soyjimeaguilar,17904220614172661,https://www.instagram.com/p/DJ2JxLwsVnw/,JAJAJA
olvera.gely,18087200713634505,https://www.instagram.com/p/DJ2JxLwsVnw/,😂
