hashtags:,#humor,#comedia,#tilamariasesto
post_url,username,comment_id,comment_text
nina_rdz_s,17896852872163372,https://www.instagram.com/p/DOzgv7xEQdn/,"Tia Tila, te conocí ahí con las mamás presentan y te adoré, me fascina tu humor"
ger_roch,18082781786495071,https://www.instagram.com/p/DOzgv7xEQdn/,"Un gran personaje eres una increíble persona y cuando te conocí confirme que tienes un vibra muy chida, mucho éxito!! 😝"
olvera.gely,18310780099172462,https://www.instagram.com/p/DOzgv7xEQdn/,"Hay Tila tus amigas , tan preguntonas , cero letradas en la materia jajaja"
