hashtags:,#humor,#comedia,#FrancoEscamilla
post_url,username,comment_id,comment_text
aponveros,18403546765114249,https://www.instagram.com/p/DOM442CjbFj/,Mis dos comediantes favoritos
itz_mrtnz12,17907340323091249,https://www.instagram.com/p/DOM442CjbFj/,👏😆😆👏
