https://www.instagram.com/p/BKwoMP2gocl/,hashtags:,#SinBandera
username,comment_id,text
azcorrarobledo,17853186409120477,Tila un saludo de esta región del cabrito Monterrey nl.
lilly.almabro,17852775010120477,Hay Tila estuvo bien padre lo de hoy! 😂💕
otosan1002,17852758330120477,Chido mija te lo cuidas
humasaarel,17852627791120477,Fuiste a barrer pelana jajajajajajaja
soyvanessadice,17852626966120477,Jajaja cuando vaya @cd9 iras?
rubycriscanul,17852615557120477,Mmm cruel
hindukhann1960,17852615458120477,Que mala no invitaste
crazychofy,17852612725120477,"Tila eres terrible, pero me encantas😍"
min13hn,17852611912120477,#teamotila
belempeniche,17852609698120477,@erikaarceoa
fernandagzpc,17852609515120477,Pelaní no me llevaste!?😒💔😂
fredber_1987,17852609029120477,@tilasesto  me dices como se puso
dariana_cc09,17852609008120477,Que envidiaaa te tengo jaja@tilasesto
moguelpatricia,17852608951120477,Que bien
soyabyperez_,17852608813120477,Sigueme
toleke,17852608711120477,Vas a cantar con ellos peluniii!!?? Mas leeendaaa
javsy_,17852608672120477,Disfrutalo muchisimo!
babycobramx,17852608471120477,Kheeeeee? Y #conbandera ?
