hashtags:,#humor,#quiérete,#autoestima
post_url,username,comment_id,comment_text
soysanwellness,18164207572358945,https://www.instagram.com/p/DKLt47RPUzc/,😂😂
shanzsantander,18061606663901746,https://www.instagram.com/p/DKLt47RPUzc/,😂😂😂
carmita_ecd,18093076189611818,https://www.instagram.com/p/DKLt47RPUzc/,👏👏👏👏👏 asi merito!
angelicamladshii,17909737479138360,https://www.instagram.com/p/DKLt47RPUzc/,😅😅gracias
kanrki_bp,17900300562197458,https://www.instagram.com/p/DKLt47RPUzc/,Sarangheyio XD
