https://www.instagram.com/p/BQ9Qdd2jEV-/,hashtags:,#CarnavalDeMerida2017
username,comment_id,text
zoraidafernandezdelgador,17850230254191206,"Tilaaaa, me quería tomar una foto contigo y me dijeron que me hiciera a un lado por que estaban grabando 😔"
magaly_carias_,17864442802074739,😂😂😂
arytaduckie,17850062221164051,Sale bye con los colados atrás jajaja
jenny.garcia.c,17862456685101577,Ven para el carnaval de Chetumal!!!! 💔
bely24mena,17850192619193994,Me encantan!!!
frany.rincon,17860507630093835,Que lindas y divertidas😸😲
yuli.rp24,17862230677113543,Ehaaa ehaaa!!!
_krdenas_mx,17850061651191296,Los amo @tilasesto @salomelabonita
luna2020cancun,17873015860032532,Bailale bailale
