https://www.instagram.com/p/BUfB7MRDkp-/,hashtags:,#TilaEnCDMX
username,comment_id,text
richropu,17871728722124384,No la necesitas exito en tu presentacion. La suerte se busca el exito se trabaja ya recorriste este camino ahora a cosechar mil felicidades es un placer tener la oportunidad de verte espero muchos la disfruten ahi en CDMX.
lulu_castilla,17868842242122736,Ansiosa de verte en CDMX
majo2727,17856186541186248,Con todo
mani_ruiz180117,17856903430161046,"Mucha suerte Mi Tila, Échale ganotas"
ivanovshinigami,17855987248187565,Ya te estamos esperando Tila!!!
hermidasandra,17857007074180913,Felicidades que vengan mas éxitos!!?
margaretjones4564,17857597096154655,Éxito y bendiciones para ti
chucho_boy,17875087426068014,Éxito!
marianapachecomx,17869924723128730,Vamos!!!!!
mirtaelide,17869556515117850,"Te deseo éxito, tu talento no queda para la suerte"
el_manzana_skate,17868642709122062,"@tilasesto yo no te deseo suerte, sino mucho éxito!! 💯👌👍 enhorabuena tila y que lo disfrutes, a representar a los del sur en México"
soy_yahaaaa,17882561230020016,"@tilasesto hoy llega @luisitocomunica a CDMX, aún tienes opción de buscarlooooo!"
janetita_gc,17872700083078556,"Que emoción, te irá genial arriba Yucatán:)"
elvi_sanchezd,17881588471002918,Eres buenisimo!!! Te va a ir sper bien
precioso_paraiso,17868634624122515,Suerte. Tila....bendiciones
soymlugo,17881228264057792,Éxito @tilasesto
jecoco85,17869919095100365,"te queremos tila, mucha suerte! !"
sosa.alis,17857938589148454,Sólo se tu misma y mandales muuuuchos besos en su culo😘😋
valensauri,17869654246119707,Ahí nos vemos!!!!! Tus paisanos yucas te apoyaremos aquí (DF)
gmariel_ot,17856476530174484,Arraaasaaaa con ellos Tila !!!!!
victorcotaya45,17869870069110126,"Vamos tila para arriba y para adentro , si se puede, si se puede"
alegarciam68,17882264038008191,Suerte! Deja en alto el nombre de Yucatán
mayalor,17881445860048367,Suerte tila eres la mejor
rushito8169,17882707930031162,"Mucha suerte Tila, seguro que te ira muy pero muy bien."
