hashtags:,#humor,#comedia,#vacuna
post_url,username,comment_id,comment_text
stevengonzalez1616,17845006151651836,https://www.instagram.com/p/CTutAoyjDGM/,😂😂😂😂
dubronaci,17843904014654276,https://www.instagram.com/p/CTutAoyjDGM/,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
maximilianotinetta,17875104293560363,https://www.instagram.com/p/CTutAoyjDGM/,Casi le pincha la teta jajaja xd
fransanchez65,17904322742081493,https://www.instagram.com/p/CTutAoyjDGM/,😂😂😂😂😂😂😂
bbto.zac,17925537271832529,https://www.instagram.com/p/CTutAoyjDGM/,😂😂😂😂😂😂😂😂😂
raul.zulma,17929439629684654,https://www.instagram.com/p/CTutAoyjDGM/,😂😂😂😂😂😂😂😂😂😂😂
paquiserr,17901121730127030,https://www.instagram.com/p/CTutAoyjDGM/,😂😂😂😂😂😂
amarante_kary,18179615323150539,https://www.instagram.com/p/CTutAoyjDGM/,😂😂
karla.navarro.984,17943491323536510,https://www.instagram.com/p/CTutAoyjDGM/,😂
lockymen__00,18258015364014113,https://www.instagram.com/p/CTutAoyjDGM/,fina ella para inyectar !! 😫
pri_son_earth,17938405849620827,https://www.instagram.com/p/CTutAoyjDGM/,😂😂😂😂😂
anaalicianavarretevargas,18133145728227178,https://www.instagram.com/p/CTutAoyjDGM/,😂😂😂se fue con su chip
jazi73.cm,18167261368198508,https://www.instagram.com/p/CTutAoyjDGM/,😂😂😂😂
sharai_rbs,18180486964176463,https://www.instagram.com/p/CTutAoyjDGM/,@florrobertos
silviapoolix,17938570378615288,https://www.instagram.com/p/CTutAoyjDGM/,😂😂😂
quintalrosa,18007115992350751,https://www.instagram.com/p/CTutAoyjDGM/,👏
beamari81,17903077628184563,https://www.instagram.com/p/CTutAoyjDGM/,No tienen presupuesto ni para la bandita del brazo 😂😂
7mimy18k________,18102765058262000,https://www.instagram.com/p/CTutAoyjDGM/,Jajjajajala sacó 🏟
juan.silveriomorales,17909732288092419,https://www.instagram.com/p/CTutAoyjDGM/,@suemy_castellanos  no puedo con esto 😂😂😂😂😂😂
suemy_castellanos,17915840947948931,https://www.instagram.com/p/CTutAoyjDGM/,@juansilveromarales no manches JAJA😂
jamajaik,17905953542137268,https://www.instagram.com/p/CTutAoyjDGM/,Jajajajajajajaja
yolanda.guillermo.79,18091277743283954,https://www.instagram.com/p/CTutAoyjDGM/,😂😂😂😂😂😂
castillon_aleyda,17958320158454613,https://www.instagram.com/p/CTutAoyjDGM/,😂😂😂😂
lauramedina40,18004272070358048,https://www.instagram.com/p/CTutAoyjDGM/,😂😂😂😂
luz150708garcia,18170391985087000,https://www.instagram.com/p/CTutAoyjDGM/,😂😂😂😂
tntmerida,18167495695085050,https://www.instagram.com/p/CTutAoyjDGM/,😂😂😂😂
ivan_cun,18251388976035927,https://www.instagram.com/p/CTutAoyjDGM/,😂😂😂😂👏
anaspeaksnow,17916851497841836,https://www.instagram.com/p/CTutAoyjDGM/,😂😂😂
