hashtags:,#maestros,#heroessincapa
post_url,username,comment_id,comment_text
wenever_xp,18086167048467354,https://www.instagram.com/p/C-LiBhQhaIu/,Le aplaudo se lo reconozco enhorabuena dijo algo muy cierto todos los maestros odiamos clases en pandemia y ahí literalmente salieron los verdaderos estudiantes los que sí querían aprender se conectaban los que siempre han sido barcos y transatlánticos e interplanetarios jamás salieron
mordadazarath,17859146190212625,https://www.instagram.com/p/C-LiBhQhaIu/,"Mi mamá sin saber de tecnología aprendió a hacer sus clases virtuales, revisar y aubir trabajos en línea y ya estando a añitos de jubilarse 😍"
amelia10946,17977794050726500,https://www.instagram.com/p/C-LiBhQhaIu/,😮😮
nakaale3,18043413496913589,https://www.instagram.com/p/C-LiBhQhaIu/,"Dar clases virtuales es una tortura para maestros, cero vida. Solo quienes dimos clases virtuales sabemos la tortura que fue 😢"
