hashtags:,#duo,#humor,#pisandocosas
post_url,username,comment_id,comment_text
ladykalyz,17877633371908528,https://www.instagram.com/p/CxgG-dZM2Wr/,"JAJAJA tanto me rei de su reaccion, que hasta escupi mi muslito de pollo 😂❤️"
piccola_echevennacott,18018876580754719,https://www.instagram.com/p/CxgG-dZM2Wr/,😂😂
wenever_xp,17846128836056799,https://www.instagram.com/p/CxgG-dZM2Wr/,😂😂😂😂
anarosainter,18384768475057159,https://www.instagram.com/p/CxgG-dZM2Wr/,Jajajaja
golddess_iliamore,17998663136136669,https://www.instagram.com/p/CxgG-dZM2Wr/,El el último es en el que se siente risa 😂 😂😂😂😂😂
miliespadas,18000995552296290,https://www.instagram.com/p/CxgG-dZM2Wr/,😂
oye.markitos,18011140237915802,https://www.instagram.com/p/CxgG-dZM2Wr/,SE CAYO
oye.markitos,17974056875360201,https://www.instagram.com/p/CxgG-dZM2Wr/,😂😂😂
oye.markitos,18388216147034001,https://www.instagram.com/p/CxgG-dZM2Wr/,😂😂😂😂😂
erendidacantun,17992392005332500,https://www.instagram.com/p/CxgG-dZM2Wr/,😂
mrbosscollector,18017541778813014,https://www.instagram.com/p/CxgG-dZM2Wr/,😂
tt_mayo,17860809986984406,https://www.instagram.com/p/CxgG-dZM2Wr/,Jajajaja quiero saber su comentario del que piso los jabones tila 😂
