https://www.instagram.com/p/C3vAiNqCtPe/,hashtags:,#BuenosDías
username,comment_id,text
ame.fernandez.5,18059368798534296,❤️❤️
helenakaliope,17921671178777552,😂😂😂
antelmo.santes,18035717788809637,Jajajaja 😢😢😢😢
lixa.vega,18045795202717800,💜💜💜💜
carmita_ecd,18097929031385623,Cierto comadre! 👏👏👏
sinaitaeuan,18010749374247614,😢😢
vernonmendeznelsonenrique,18025178224948932,Uno de mis comediantes favoritos gracias por hacerme reír cuando triste me encuentro.
cesar.fray.14,17856810849088400,Nice good es real gracias
ghettobanana,18121397068341171,🫰❤
lizethcannoh,17953168880753700,😂😂😂😂
isolinaenpositivo,17906700734841311,Bendiciones desde chile
isolinaenpositivo,18028227052762207,Tilaaaaa
catycon,18145700587311580,Me encantas 🥰!!!!!
doloresfolgado,18026010487824396,😂😂😂😂 que verdad más grande😍😍
lucila_nutricion,18110279380334216,😂😂😂
wendykarinacoral,17899315004881880,😂😂😂😂
susanabacab,18014769107151248,😂😂😂
ilimedinaramirez,17991010634366592,😂😂😂😂😂
lorena_alcocer,17855003874113598,😂😂😂😂😂 bonito día!!
hotarumiura,18031935685871493,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂👏👏👏👏👏Mi mamá si me quiere😂😂😂
lizadf3am,17984515265482203,😒😒😒
_brendaabasto_,18320856214187918,Buenos días Tila ❤️
