https://www.instagram.com/p/BSxB--AD_O-/,hashtags:,#CorranLaVoz
username,comment_id,text
rossybeh,17865419488124451,desde Brawley Ca @tilasesto te adorooooooooooooo
rossybeh,17853596668160677,"@tilasesto eres genial y con ansias esperare ese video como siempre te lo he dicho eres mi idola, saludos desde"
sandra_paulina_300802,17876972860018319,Sigueeme
sandra_paulina_300802,17877774634045949,Weputaaaa
sandra_paulina_300802,17878041508020102,Tilaaaa siguemeee💕😭😭
mededuran,17876638600037568,Al finnnn❤🙌🙌🙌
collicob,17852948881186985,Buenaaaaaaaaaaasssssssssss
mary_fili_2901,17868642934074401,Okiii iestare pendiente 😍
nelsyvm,17866314577128677,Hablas muy rápido 😂
