https://www.instagram.com/p/BMkIcD6A3BY/,hashtags:,#Nacos
username,comment_id,text
prexiosa291,17865524890056877,un saludo desde E.U. me gustaria presenciar alguno de tus shows...y x fa soy tu fan #1 regalame ese nipil ke traes puesto si es ke asi se llama...un abrazo y k Dios te bendiga
silviajacsiq811,17854227901089474,"Un gusto tenerte en Chetumal,  me encantó  la obra me hubiera encantado saludarte,  pero se que iban con prisa, al menos me lleve una foto del chino y salude a Aldo jaja jaja #jueputa gracias por ser mi regalo de cumpleaños #besosentuculo"
gonzalezlil,17854234774087405,"Muy buena la obra @tilasesto saludos, llegando a casa con dolor de panza por tanta risa"
inescima,17854118353086027,Me encantó tu obra❤❤❤❤
jmavilajimenez,17865233833025172,Gracias de allí venimos kurush
ganesha1920,17855105920113445,Te ves perrona 😛
marissapalomarcastillo,17855212126117267,@tilasesto 😘😘
julianchan55,17855037784106052,"Jajajaja, tu queeeso 👍"
princesita_23pexoxa25,17865063676036632,Oye t vez súper woooo me encantas como saliste tkm soy tu fans también preciosa 😘❤️
marissapalomarcastillo,17844091813165141,@tilasesto eres la mejor del mundo por eso te voy a decir mama sígueme pliss ❤️😘😍#nacos#tilita
carneroy4mas,17854193170083551,La mejor
hitt._nat,17854780936126117,Soy tu fan😍
juan041175,17844144364159962,Mestiza auténtica
juan041175,17859090157067469,Guapa
