hashtags:,#terapia,#humor,#comedia
post_url,username,comment_id,comment_text
sunshine_miaw,18168132580351832,https://www.instagram.com/p/DMJkPtEKQ76/,EOOOOOO 🗣️🔥🔥🔥🔥🔥
pitufina_hernandez31,18046028360634753,https://www.instagram.com/p/DMJkPtEKQ76/,Jajajajaa
