hashtags:,#humor,#comedia,#viral
post_url,username,comment_id,comment_text
jluis_irigoyen1,18447370330079246,https://www.instagram.com/p/DDsS8jvI0Mw/,Holaaaa! Te escribí al whats o DM @tilasesto  @ozdan_
yutvalencia,17964872357852464,https://www.instagram.com/p/DDsS8jvI0Mw/,😂😂
dellapinakali,18118526908428924,https://www.instagram.com/p/DDsS8jvI0Mw/,
diomiran,17953988075913024,https://www.instagram.com/p/DDsS8jvI0Mw/,😂😂😂😂😂😂
clever.rc,18484476106020853,https://www.instagram.com/p/DDsS8jvI0Mw/,En teoría debería de seguir saliendo el agua mientras habla😂😂😂😂😂 que mal que mal😂😂😂😂
clever.rc,18354814087127924,https://www.instagram.com/p/DDsS8jvI0Mw/,@clever.rc tienes las patas negras . Puerrrrca
marisarequena813,17968055834702768,https://www.instagram.com/p/DDsS8jvI0Mw/,😂
nandoalcocer,18129581269391558,https://www.instagram.com/p/DDsS8jvI0Mw/,no sabia que tu color era cafe como michael jackson
amelia10946,18110031652448122,https://www.instagram.com/p/DDsS8jvI0Mw/,😂😂
canulvirginia,18046632335152304,https://www.instagram.com/p/DDsS8jvI0Mw/,Tila cuando llegas aquí en Santa Rosa ca o de lo contrario (San Francisco ca).USA
fblanchg,17882489850192169,https://www.instagram.com/p/DDsS8jvI0Mw/,👏👏👏🙌🔥😂😂😂😂
bexmlum,18456349849071368,https://www.instagram.com/p/DDsS8jvI0Mw/,Jajajajajajjajajaja q buenoooo 😂😂😂😂 eres la mejor
alejandromanzanilla00,18039714224337961,https://www.instagram.com/p/DDsS8jvI0Mw/,Me dolió mi ano
martssolis,18259916518251458,https://www.instagram.com/p/DDsS8jvI0Mw/,😂😂😂😂
meliiespadas,18156943867335271,https://www.instagram.com/p/DDsS8jvI0Mw/,😂😂
manu3lfajardo,18040821686247751,https://www.instagram.com/p/DDsS8jvI0Mw/,😂😂😂😂
jessicaa.vieira.9,18008609651501151,https://www.instagram.com/p/DDsS8jvI0Mw/,😂😂😂😂
jessicaa.vieira.9,18072115993635394,https://www.instagram.com/p/DDsS8jvI0Mw/,Jajajajajaj
daniel_caoba,18350130637125583,https://www.instagram.com/p/DDsS8jvI0Mw/,😂😂😂😂
bojorquezordazanaesther,18066083959693041,https://www.instagram.com/p/DDsS8jvI0Mw/,😂😂😂😂😂 Ups!!
kendraacevedo_,17889029445114040,https://www.instagram.com/p/DDsS8jvI0Mw/,😅😂😂
amparo_1810,17894537013118502,https://www.instagram.com/p/DDsS8jvI0Mw/,😂😂😂
