hashtags:,#DíasParaMásEnLínea,#BodegaAurreraEnLínea
post_url,username,comment_id,comment_text
elizacardnas,17988226726896554,https://www.instagram.com/p/CgAnit7jnkz/,Viste algún episodio de Tila Tequila?
ross_rox_roll,18310648201004974,https://www.instagram.com/p/CgAnit7jnkz/,Saludos desde Francia ☺️😉 soy yucateca
ari_mi_angelito,17957058538798824,https://www.instagram.com/p/CgAnit7jnkz/,😂😂😂😂😂😂😂😂😂😂😂😂😂🤣🤣🤣🤣🤣🤣🤣
its.angelo_19,18009162511439042,https://www.instagram.com/p/CgAnit7jnkz/,Me comí un anuncio 😞
tilasesto,17970082570735759,https://www.instagram.com/p/CgAnit7jnkz/,@angeloy628 completito y sin chistar
creacionessoloparami,17957120536787952,https://www.instagram.com/p/CgAnit7jnkz/,😂😂😂😂😂😂😂😂😂😂
eidyjimenez98,18219063838144208,https://www.instagram.com/p/CgAnit7jnkz/,Anuncios que valen la pena ver😍😂
tilasesto,17953938676943399,https://www.instagram.com/p/CgAnit7jnkz/,@eidyjimenez98 mucha gracias!!
karniloiv,17949198218017395,https://www.instagram.com/p/CgAnit7jnkz/,Y los Hot cakes????
tilasesto,17851184741781154,https://www.instagram.com/p/CgAnit7jnkz/,@karniloiv cuando me llegue el tostador
luciaaraceligomez,17860548497739375,https://www.instagram.com/p/CgAnit7jnkz/,😂jajaja me encantó
tilasesto,18144855517264759,https://www.instagram.com/p/CgAnit7jnkz/,@luciaaraceligomez 😋😘
arianapreciosa30,17937997151209926,https://www.instagram.com/p/CgAnit7jnkz/,😍😍
beto_mc_20,17987960242480499,https://www.instagram.com/p/CgAnit7jnkz/,Veeeeennnnnddiiiiidaaaaa😂😂😂😂😂😂
tilasesto,18057761737322535,https://www.instagram.com/p/CgAnit7jnkz/,@beto_mc_20 tu has de comer de puros aplausos no? 🤪
beto_mc_20,17874326786721546,https://www.instagram.com/p/CgAnit7jnkz/,"@tilasesto no te me molestes tilita hermosa, era broma me encanta tu comedia. Saludos"
beto_mc_20,18175226386215291,https://www.instagram.com/p/CgAnit7jnkz/,@tilasesto me veo todos los dias tus informerciales jijiji
