https://www.instagram.com/p/BIbfcrYAM3t/,hashtags:,#MaricOrangeisTheNewBlack
username,comment_id,text
antonioramirez918,17859712984040311,nomames ta chida la mascara de jeison onde la compraste
mariabellob,17859553003040311,Aaay la quiero veeer
luumgomez,17859550738040311,@cory_osoorio 😂😂😂
guadalupe_pherrero_,17859549934040311,Tila soy tu fan numero eres la única que me hace reirrrrr
erikatibu30,17859548626040311,Guapísima😘😘😘😘😘
ann8206_,17859547870040311,@saritaloveinc  @joalicia
tonomoguel,17859547777040311,Maaaa combinacion entre rusa y yucaaaa nene y si platicamos serka de tu corazon jajajajajaja
mariagmm14,17859547213040311,Que perraaa amigaaa😏😏😂😂😂😂
