hashtags:,#Mestiza,#Weputa
post_url,username,comment_id,comment_text
gonzalo_esperilla,17885947606146280,https://www.instagram.com/p/BcJRBy0nczb/,Tila... donde estás presentando tu show?
brissia_chale,17851329748219024,https://www.instagram.com/p/BcJRBy0nczb/,way chichi me asusta stes aaaayyyyyy
lukaz124,17884991377185872,https://www.instagram.com/p/BcJRBy0nczb/,Tila cual es tu gamer tag de xbox para jugar WW2
maytee_caballero,17852690791200506,https://www.instagram.com/p/BcJRBy0nczb/,Tila cada vez te veo mas castaña y donde quedo el pelo negro???
dulcelly_lunar_cel,17897852329104589,https://www.instagram.com/p/BcJRBy0nczb/,pinche perra! siempre te voy amar! 😘😘😘😘😎
galygutierrez,17893980163080648,https://www.instagram.com/p/BcJRBy0nczb/,Eres CHINGONA Y TE AMO cuando vienes a CDMX
ceci_leto,17893895635083648,https://www.instagram.com/p/BcJRBy0nczb/,Srita polvoron eres lo maximo
emmi_chale_,17886641338136858,https://www.instagram.com/p/BcJRBy0nczb/,Eres chistosa y la pasamos bien escuchando te saludos 😉👍👌
rahulzepeda,17881027531170591,https://www.instagram.com/p/BcJRBy0nczb/,"Andas en cosplay de chuckye , jajajaja si o no @rbkrom ?"
zelmi9,17853361438205424,https://www.instagram.com/p/BcJRBy0nczb/,Tienes q cara de empujar un pedo jajaja 😂 de por sí eres necia con esa cara más
cachorro.raphael,17899582867102602,https://www.instagram.com/p/BcJRBy0nczb/,Tu cara de maldita que horrora en choki jajajaja muero de risa muy @gemadg1
osorio2659,17898962461109142,https://www.instagram.com/p/BcJRBy0nczb/,Claro tila eres chingona....con solo escuchar tu nombre ya me imagino las tonterías q vas a decir ....jajjajj
apachegeronimo69,17886335455188358,https://www.instagram.com/p/BcJRBy0nczb/,Salu2 cordiales tila.
nayelisolis10,17904036136076044,https://www.instagram.com/p/BcJRBy0nczb/,Wpta si que ya estás fea 😂😂😂😂😂
karlalssp,17909694265044246,https://www.instagram.com/p/BcJRBy0nczb/,Eres un desmadre😂♥
karenalvarezofc,17911655386021910,https://www.instagram.com/p/BcJRBy0nczb/,Diva😝
vandersongs,17897683585106361,https://www.instagram.com/p/BcJRBy0nczb/,JJAJAJA solo verte me dio risa
acinorevcastr0,17872148863196687,https://www.instagram.com/p/BcJRBy0nczb/,Saludos desde kanasin Okey no 😂❤ Eres la mejor <3
gaby.law,17909837986003472,https://www.instagram.com/p/BcJRBy0nczb/,Te amo Tila <3
pedroantonioleo,17853204838205612,https://www.instagram.com/p/BcJRBy0nczb/,Eres la mejor😂💪💖
