hashtags:,#DanielAyala,#MeLaPasoPorLasWebs
post_url,username,comment_id,comment_text
bdocanto,17853559045040610,https://www.instagram.com/p/60Ham4SAjM/,@ppcanto las 2 cosas que mas te gustan
charliebrownmr,17844057865040610,https://www.instagram.com/p/60Ham4SAjM/,Jajajaja... Hasta fan te volviste... Qué re-cabrón!!! Jajajaja @ca.ma.ro 😂
car.ma.ro,17844053776040610,https://www.instagram.com/p/60Ham4SAjM/,Mira ya!!! El nuevo video mi charlie... @charliebrownmr
pecamposalicia,17844043576040610,https://www.instagram.com/p/60Ham4SAjM/,Toda una diva ...
lilmargx,17844020443040610,https://www.instagram.com/p/60Ham4SAjM/,@monsecv_  incluso Tila María tiebe uno y tú no 💔
lanubesonora,17852942149040610,https://www.instagram.com/p/60Ham4SAjM/,Mándame saludos por favor soy tu mayor fan ❤️❤️❤️❤️❤️
catrina_yong,17852939356040610,https://www.instagram.com/p/60Ham4SAjM/,SO COOL🍸!
daniela.alavalle,17852933551040610,https://www.instagram.com/p/60Ham4SAjM/,😀
daniela.alavalle,17852933548040610,https://www.instagram.com/p/60Ham4SAjM/,Hola tila mándame saludos en uno de tus videos se que te valdrá  3 kilos de la más pura💩💩💩💩 pero no seas culera y porfis sígueme no seas💩sígueme mi hermano mi papá mi mamá y yo  te amamanos no seas culera sígueme 💖💕💓💘💗💎💩💩💩💎💖💕💘💗
liliortizp,17852929342040610,https://www.instagram.com/p/60Ham4SAjM/,"Para mi gusto le falto a la obra, tus compañeros dejaron mucho que desear, no daban mucha risa, el guión no tiene mucha coherencia y sobretodo repetiste chistes de la obra con nami namu.  Lo digo con afán de crítica constructiva. Tu me matas de risa."
ricks.lm,17852928973040610,https://www.instagram.com/p/60Ham4SAjM/,Te Amo @tilasesto💖Eres Mas Que Perfecta😭💕Mi Famila Y Yo Somos Tus Fans👑Te Amo💕Sigeme🙈😭💗
aleemayte,17852928931040610,https://www.instagram.com/p/60Ham4SAjM/,"Buen show!  La verdad me encanto ,  muy guapa Tila,  te adoro,  besos  y bendiciones ! :)"
pancha983,17852928541040610,https://www.instagram.com/p/60Ham4SAjM/,"Noche estuve en el teatro, me encanto! Solo me quede con ganas de verte bailar, vi un video de usted bailando en progreso la semana pasada, ojalá lo encuentre para etiquetarlo y lo tenga en su página. Le deseo muchos éxitos más aquí en su tierra y también siga llevando nuestro folklore a todos los rincones de la tierra. Necesitamos reír, es la mejor medicina"
mariicarmencd,17852928493040610,https://www.instagram.com/p/60Ham4SAjM/,"La mejor obra, eres una gran artista! Gracias por tantas risas @tilasesto"
adrisros,17852926552040610,https://www.instagram.com/p/60Ham4SAjM/,ya nos abandonaste!! sube más vídeos... nos quedamos esperando  uno de Disney así que regresa  para hacerlo jaja
wen.rosado,17852926432040610,https://www.instagram.com/p/60Ham4SAjM/,Muy guapa la Tila 👌😁😁😁
deliacahe,17852926429040610,https://www.instagram.com/p/60Ham4SAjM/,@tilasesto  eres única!!! Buenísima jajajaja pero sube más vídeos!!!! Nos tienes olvidados!!! Eres lo mejor q le pudo pasar a Mérida... Y mira q mi mama no te conocía el otro día le envié tus vídeos y lo mas chistoso q cree q eres mujer 😂😂😂😂😂😂😂
javierbrca,17852926396040610,https://www.instagram.com/p/60Ham4SAjM/,Tila te adoro eres la mejor youtuber de todos saludos desde motul Yucatán sube más vídeos 😜😜
