hashtags:,#teregañoenyucateco,#HUMOR,#COMEDIA
post_url,username,comment_id,comment_text
aleqromx,18081352789860477,https://www.instagram.com/p/DKpVDULtjq7/,😂😂😂
ato_rot,18080036149834135,https://www.instagram.com/p/DKpVDULtjq7/,Y carita :D
ichbinquix,18082749673781221,https://www.instagram.com/p/DKpVDULtjq7/,"Falta de prudencia, pa la próxima cosplay de pepa pig o algo"
macanolli,17906774424055443,https://www.instagram.com/p/DKpVDULtjq7/,Ninioooooo 😂😂😂😂😂😂 que le costaba ir del cosplay de Tila
eadlgets,17935516506021647,https://www.instagram.com/p/DKpVDULtjq7/,Defecado del miedo 😂
