hashtags:,#humor,#comedia
post_url,username,comment_id,comment_text
alemedevi2,18393178252136381,https://www.instagram.com/p/DMlWis0Ngsb/,🙌👏 que mujer tan sabia 👏👏👏 maestra 👋🏼
esponja_maldita,17993654156668565,https://www.instagram.com/p/DMlWis0Ngsb/,😂😂😂😂 tienes razón 😜😜😜
_djnami,18282561991257825,https://www.instagram.com/p/DMlWis0Ngsb/,"Finje ser jugador, pero como no pega ni una ataca para ponerse en el ojo público y poder facturar!! INTERESANTE..!! @ch14_"
dkqwm,18492224329070948,https://www.instagram.com/p/DMlWis0Ngsb/,"Es que imagínate estar sin pelo, neverrrrr"
o_milke,18083027032831881,https://www.instagram.com/p/DMlWis0Ngsb/,"Jajajajaj, no mams!"
emanuel_cocom,18072271202000960,https://www.instagram.com/p/DMlWis0Ngsb/,"Cuando un jugador no está demostrando su potencial en el terreno de juego, intenta llamar la atención afuera"
jorgepascon,17846225952534274,https://www.instagram.com/p/DMlWis0Ngsb/,@emanuel_cocom en serio? entonces quien estuvo en varios mundiales y jugando en clubes en otros países? me imagino que para criticar tu debes tener el mismo número de logros y al mismo nivel no?
fionicienta13,17941421025034123,https://www.instagram.com/p/DMlWis0Ngsb/,😂
itspitermj._,18074315035975000,https://www.instagram.com/p/DMlWis0Ngsb/,Se apend3j4n bien duro o revelan su verdadera forma de ser 😒
a9291794linda,18130424857444153,https://www.instagram.com/p/DMlWis0Ngsb/,"No , se dejó ver tal y como es total ya perdió el cabello,."
zairantastic,17877791115260002,https://www.instagram.com/p/DMlWis0Ngsb/,😂😂😂
monsemm23,18045151577295446,https://www.instagram.com/p/DMlWis0Ngsb/,😂
roz_pantoja21,18073276514047883,https://www.instagram.com/p/DMlWis0Ngsb/,😂😂😂😂😂😂😂😂😂
alfak.ari,18139924651420027,https://www.instagram.com/p/DMlWis0Ngsb/,😂
alain.rcuenca,18049835156211013,https://www.instagram.com/p/DMlWis0Ngsb/,Cámara un pelón no define a la sociedad alopécica !!! Jaja 😜
mocha_bully,18053467439388519,https://www.instagram.com/p/DMlWis0Ngsb/,@alain.rcuenca jajaja
mocha_bully,18022368050524849,https://www.instagram.com/p/DMlWis0Ngsb/,Jajaja
kuakuiin,18064026980334821,https://www.instagram.com/p/DMlWis0Ngsb/,Pero sin llolanda Maricarmen
augusto_barraganol,18075314140797548,https://www.instagram.com/p/DMlWis0Ngsb/,Arriba el Chicharito!
nelvia_2021,17853182991498252,https://www.instagram.com/p/DMlWis0Ngsb/,Me recuerda a Alfredo adame que no sé en qué momento su cerebro dejó de funcionar y se volvió un piltrafa humana
